row ID,row m/z,row retention time,20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_01.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_00.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_01.mzML Peak area,
1,141.97917619593125,0.17670397,0,220057.66,0,0,0,164737.22,0,0,0,
2,139.9825405504781,0.24691135,0,0,0,0,0,0,0,0,1891906.9,
3,138.98630362183746,0.32710296,0,0,0,0,85871.25,292331.97,0,0,0,
4,130.00828479115614,0.33977488,0,0,0,184199.48,194061.23,177291.81,194407.1,0,0,
5,143.03985544075394,0.33977488,0,0,0,116364.13,114585.48,107841.414,115335.61,0,0,
6,158.00319274166642,0.34050846,0,0,0,464041.0,514829.2,463108.9,477382.1,235648.05,231919.14,
7,146.16543800819835,0.34120753,0,293426.4,0,0,0,0,0,0,0,
8,251.92970902483256,0.34120753,0,305320.38,0,0,0,0,0,0,0,
9,279.9245235818585,0.34120753,0,271117.16,0,0,0,0,0,0,0,
10,267.9019368684526,0.3459276,0,0,0,0,0,0,0,1393652.5,1287299.8,
11,295.89684093859546,0.3459276,0,0,0,0,0,0,0,366950.38,715314.3,
12,318.88683958701193,0.34976476,0,0,0,0,0,0,0,0,77737.72,
13,513.7569465289811,0.34976476,0,0,0,0,0,0,0,0,70051.336,
14,400.80068561723516,0.34988174,0,0,0,0,0,0,0,150091.5,149519.67,
15,441.82726840436885,0.34988174,0,0,0,0,0,0,0,232799.12,214252.11,
16,352.8795307926173,0.3519225,34842.08,0,0,0,0,0,0,0,0,
17,185.98367002268046,0.3522123,0,0,0,817791.0,921348.75,838781.4,831335.25,0,0,
18,125.98656857292494,0.35590848,2053531.4,5151312.0,2122066.0,703622.9,746247.3,759419.1,754387.75,0,0,
19,171.00596748218922,0.3570366,0,152582.56,0,0,0,0,0,0,0,
20,198.94002052342933,0.3570366,0,300977.06,0,0,0,0,0,0,0,
21,214.91777364604863,0.3570366,0,336419.25,0,0,0,0,0,0,0,
22,232.92887371690458,0.3570366,0,465147.16,0,0,0,0,0,0,0,
23,234.961545260364,0.3570366,0,496108.66,0,0,0,0,0,0,0,
24,241.96414094848967,0.3570366,0,376866.84,0,0,0,0,0,0,0,
25,255.94464891697714,0.3570366,0,1374832.9,0,0,0,0,0,0,0,
26,258.9789139510872,0.3570366,0,216720.95,0,0,0,0,0,0,0,
27,259.9746170448133,0.3570366,0,199188.44,0,0,0,0,0,0,0,
28,281.9951398179432,0.3570366,0,277496.75,0,0,0,0,0,0,0,
29,325.9523035360329,0.3570366,0,234073.64,0,0,0,0,0,0,0,
30,353.9471987326756,0.3570366,0,266122.56,0,0,0,0,0,0,0,
31,369.9247501718638,0.3570366,0,503789.22,0,0,0,0,0,0,0,
32,385.901488480422,0.3570366,0,264662.6,0,0,0,0,0,0,0,
33,192.06209027257108,0.35738346,0,217190.38,365858.72,0,0,0,0,0,0,
34,218.98394866325225,0.35738346,0,603427.8,1271724.1,0,0,0,0,0,0,
35,223.9892591718055,0.35738346,0,718630.5,1738731.4,0,0,0,0,0,0,
36,243.00100846690458,0.35738346,0,455201.94,1121335.4,0,0,0,0,0,0,
37,243.99716873369738,0.35738346,0,442909.3,1076113.2,0,0,0,0,0,0,
38,257.9774001961957,0.35738346,0,1404338.5,716706.25,0,0,0,0,0,0,
39,266.0171606312324,0.35738346,0,535527.7,1401835.9,0,0,0,0,0,0,
40,267.0130406923231,0.35738346,0,469523.03,1216089.9,0,0,0,0,0,0,
41,280.99342378778454,0.35738346,0,1591101.1,850887.5,0,0,0,0,0,0,
42,916.4511391303535,0.35763764,0,0,0,0,0,0,0,0,93943.56,
43,129.02022539950562,0.35773033,0,0,168240.84,0,0,0,0,0,0,
44,130.0171812169311,0.35773033,0,0,249504.2,0,0,0,0,0,0,
45,156.01450574375065,0.35773033,0,0,152849.8,0,0,0,0,0,0,
46,309.9747882162326,0.35773033,0,0,504213.75,0,0,0,0,0,0,
47,151.03550244621346,0.3579118,6480065.5,1.0110008E7,1.5394825E7,0,704407.94,741366.2,610226.0,0,124578.72,
48,239.9668138447479,0.35820475,1068866.6,2705803.8,1421126.9,0,0,0,0,0,0,
49,241.99975881923856,0.35820475,1186590.2,1668107.0,3840626.2,0,0,0,0,0,0,
50,265.01584233920994,0.35820475,1307856.5,1778522.8,4374317.5,0,0,0,0,0,0,
51,123.04068874356238,0.36083674,259201.2,424783.53,704883.0,0,0,0,0,0,0,
52,128.01959092112796,0.36083674,496864.44,821954.94,1250738.1,0,0,0,0,0,0,
53,143.9970873888575,0.36083674,353579.8,1038575.1,310480.75,0,0,0,0,0,0,
54,152.03660011745387,0.36083674,854460.3,1291926.4,2303532.8,0,0,0,0,0,0,
55,153.03303210445816,0.36083674,1014040.75,1572140.9,2441521.8,0,0,0,0,0,0,
56,167.0130689365876,0.36083674,2258703.5,6275850.0,2165935.5,0,0,0,0,0,0,
57,169.04612433100147,0.36133134,0,200942.38,328421.06,0,0,0,0,0,0,
58,216.95096982184435,0.3613324,0,1157001.0,541044.44,0,0,0,0,0,0,
59,167.9818876638102,0.36169416,0,0,0,0,0,0,0,178070.9,159928.06,
60,319.7931420224512,0.36169308,0,0,0,0,0,0,0,98965.15,99963.234,
61,377.82897508013144,0.36169416,0,0,0,0,0,0,0,454036.8,438414.94,
62,503.75340776754615,0.36169416,0,0,0,0,0,0,0,440739.8,420552.12,
63,682.5825599478837,0.36169416,0,0,0,0,0,0,0,214877.3,180755.4,
64,741.6197879892154,0.36169416,0,0,0,0,0,0,0,183214.8,150552.73,
65,139.01814582436464,0.3649324,0,359286.2,0,0,0,0,0,0,0,
66,200.9732727851852,0.3649324,0,225622.4,0,0,0,0,0,0,0,
67,240.96808737496525,0.3649324,0,402053.8,0,0,0,0,0,0,0,
68,282.9903211291638,0.3649324,0,204515.48,0,0,0,0,0,0,0,
69,182.96153134514083,0.36550632,0,0,0,0,0,0,0,0,54125.746,
70,183.11623711178018,0.36550632,0,0,0,0,0,0,0,0,85130.68,
