row ID;row m/z;row retention time;20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area;20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area;20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area
1;141.979211;0.15098184;0;220057.66;0
2;146.165438;0.34120753;0;293426.4;0
3;251.929709;0.34120753;0;305320.38;0
4;279.9245236;0.34120753;0;271117.16;0
5;352.8795308;0.3519225;34842.08;0;0
6;171.0059675;0.3570366;0;152582.56;0
7;198.9400205;0.3570366;0;300977.06;0
8;214.9177736;0.3570366;0;336419.25;0
9;232.9288737;0.3570366;0;465147.16;0
10;234.9615453;0.3570366;0;496108.66;0
11;241.9641409;0.3570366;0;376866.84;0
12;255.9446489;0.3570366;0;1374832.9;0
13;258.978914;0.3570366;0;216720.95;0
14;259.974617;0.3570366;0;199188.44;0
15;281.9951398;0.3570366;0;277496.75;0
16;325.9523035;0.3570366;0;234073.64;0
17;353.9471987;0.3570366;0;266122.56;0
18;369.9247502;0.3570366;0;503789.22;0
19;385.9014885;0.3570366;0;264662.6;0
20;192.0620903;0.35738346;0;217190.38;365858.72
21;218.9839487;0.35738346;0;603427.8;1271724.1
22;223.9892592;0.35738346;0;718630.5;1738731.4
23;243.0010085;0.35738346;0;455201.94;1121335.4
24;243.9971687;0.35738346;0;442909.3;1076113.2
25;257.9774002;0.35738346;0;1404338.5;716706.25
26;266.0171606;0.35738346;0;535527.7;1401835.9
27;267.0130407;0.35738346;0;469523.03;1216089.9
28;280.9934238;0.35738346;0;1591101.1;850887.5
29;129.0202254;0.35773033;0;0;168240.84
30;130.0171812;0.35773033;0;0;249504.2
31;156.0145057;0.35773033;0;0;152849.8
32;309.9747882;0.35773033;0;0;504213.75
33;239.9668138;0.3582048;1068866.6;2705803.8;1421126.9
34;241.9997588;0.3582048;1186590.2;1668107;3840626.2
35;265.0158423;0.3582048;1307856.5;1778522.8;4374317.5
36;123.0406887;0.36083674;259201.2;424783.53;704883
37;125.9865634;0.36083674;2053531.4;5151312;2122066
38;128.0195909;0.36083674;496864.44;821954.94;1250738.1
39;143.9970874;0.36083674;353579.8;1038575.1;310480.75
40;151.0355172;0.36083674;6480065.5;1.01E+07;1.54E+07
41;152.0366001;0.36083674;854460.3;1291926.4;2303532.8
42;153.0330321;0.36083674;1014040.75;1572140.9;2441521.8
43;167.0130689;0.36083674;2258703.5;6275850;2165935.5
44;169.0461243;0.36133134;0;200942.38;328421.06
45;216.9509698;0.3613324;0;1157001;541044.44
46;139.0181458;0.3649324;0;359286.2;0
47;200.9732728;0.3649324;0;225622.4;0
48;240.9680874;0.3649324;0;402053.8;0
49;282.9903211;0.3649324;0;204515.48;0
50;141.9588805;0.372849;0;1623537.6;0
51;154.9905075;0.372849;0;392867.47;0
52;159.9694251;0.372849;0;443224.8;0
53;171.9930437;0.372849;0;1208882.4;0
54;182.9854991;0.372849;0;4914523.5;0
55;244.9470008;0.372849;0;118595.805;0
56;260.9246969;0.372849;0;77038.9;0
57;271.9166997;0.372849;0;472455;0
58;272.9420074;0.372849;0;92529.4;0
59;288.9194597;0.372849;0;99129.72;0
60;312.9432458;0.372849;0;236394.77;0
61;147.1131424;0.37355518;0;0;321758.12
62;189.1600902;0.38739765;302805.72;486294.66;1412394.8
