row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_stdby.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_00.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_01.mzML Peak area,Unnamed: 23
1,183.07846539273345,0.0853139,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12968388.0,0.0,0.0,
2,167.97743660081483,0.10511201,height,,,,,,,,,,,903379.2,0.0,0.0,914599.9,0.0,0.0,831795.6,0.0,0.0,0.0,
3,171.149584122951,0.11203245,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2904128.2,0.0,0.0,
4,200.16490069548288,0.1301448,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251206.9,0.0,0.0,
5,137.98730931879385,0.16458496,height,,,,,,,,,,,0.0,0.0,0.0,1714805.5,0.0,0.0,0.0,0.0,1720013.4,0.0,
6,139.98255820242875,0.18420851,height,,,,,,,,,,,0.0,11906936.0,0.0,12606669.0,13541298.0,14177228.0,0.0,0.0,11608990.0,0.0,
7,190.9933037297261,0.19351368,height,,,,,,,,,,,0.0,0.0,0.0,946712.8,0.0,1072725.4,847371.9,1960074.2,844935.4,0.0,
8,167.97741930514394,0.20293063,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1083831.4,0.0,0.0,825530.75,0.0,
9,217.9598081665277,0.22957696,height,,,,,,,,,,,0.0,0.0,0.0,0.0,1593795.8,0.0,0.0,0.0,1491214.1,0.0,
10,162.9984720749022,0.24359949,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,890369.56,0.0,1487561.1,0.0,0.0,
