SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00003135300	1513	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.993058	4744400.0	0	3.96435	6	0.000701904	177.055	1	temp/spectra_filtered.mgf1513	1	Spectral Match to 3-Hydroxy-4-methoxycinnamic acid from NIST14	ESI	QQQ	Isolated	Data from Wolfender/Litaudon	Data deposited by pmallard	M+H-H2O	177.054	194.058	1	537735	N/A	COC1=C(C=C(C=C1)/C=C/C(=O)O)O	InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+	N/A	3	Positive	GNPS-NIST14-MATCHES	177.054	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H10O4	QURCVMIEKCOAJU-HWKANZROSA-N	QURCVMIEKCOAJU	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003135300
CCMSLIB00000211410	1505	spectra_filtered.mgf	MASSBANK.mgf	0.992758	3104800000.0	0	1.20403	9	0.000366211	304.154	1	temp/spectra_filtered.mgf1505	1	Massbank:EA281710 Cocaine| (1S,3S,4R,5R)-3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-4-carboxylic acid methyl ester	ESI	LC-ESI-ITFT	Isolated	Putative Massbank Match	Massbank	[M+H]+	304.154	0.0	1	50-36-2	N/A	CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC	1S/C17H21NO4/c1-18-12-8-9-13(18)15(17(20)21-2)14(10-12)22-16(19)11-6-4-3-5-7-11/h3-7,12-15H,8-10H2,1-2H3/t12-,13+,14-,15+/m0/s1	N/A	3	Positive	MASSBANK	304.154	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C17H21NO4	ZPUCINDJVBIVPJ-UHFFFAOYSA-N	ZPUCINDJVBIVPJ	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Ornithine alkaloids	Tropane alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000211410
CCMSLIB00006679502	99	spectra_filtered.mgf	MONA.mgf	0.991103	17604300.0	0	0.483996	6	9.15527e-05	189.16	1	temp/spectra_filtered.mgf99	1	"""NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE"""	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA038545	M+H	189.16	0.0	1	N/A	N/A	C[N+](C)(C)CCCC[C@@H](C(=O)[O-])N	"""InChI=1S/C9H20N2O2/c1-11(2,3)7-5-4-6-8(10)9(12)13/h8H,4-7,10H2,1-3H3/t8-/m0/s1"""	N/A	3	positive	MONA	189.16	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	MXNRLFUSFKVQSK-QMMMGPOBSA-N	MXNRLFUSFKVQSK	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006679502
CCMSLIB00003139754	2355	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.987577	380100.0	0	5.33994	8	0.000946045	177.165	1	temp/spectra_filtered.mgf2355	1	Spectral Match to 2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)- from NIST14	ESI	qTof	Isolated	Data from Wolfender/Litaudon	Data deposited by pmallard	M+H-H2O	177.164	194.167	1	31499726	N/A	CC1=CCCC(C1CCC(=O)C)(C)C	InChI=1S/C13H22O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h6,12H,5,7-9H2,1-4H3	N/A	3	Positive	GNPS-NIST14-MATCHES	177.164	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C13H22O	JHJCHCSUEGPIGE-UHFFFAOYSA-N	JHJCHCSUEGPIGE	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Apocarotenoids	Apocarotenoids(ε-)	Terpenoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003139754
CCMSLIB00004721848	1564	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.987464	29500200.0	0	0.736278	7	0.000213623	290.139	1	temp/spectra_filtered.mgf1564	1	Norcocaine	LC-ESI	Orbitrap	Isolated	Manuel Sergi	08132018	M+H	290.139	289.131	1	 	 	COC(=O)C1C2CCC(N2)CC1OC(=O)C3=CC=CC=C3	InChI=1S/C16H19NO4/c1-20-16(19)14-12-8-7-11(17-12)9-13(14)21-15(18)10-5-3-2-4-6-10/h2-6,11-14,17H,7-9H2,1H3	 	3	Positive	GNPS-LIBRARY	290.139	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C16H19NO4	AYDBLCSLKNTEJL-UHFFFAOYSA-N	AYDBLCSLKNTEJL	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Ornithine alkaloids	Tropane alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00004721848
CCMSLIB00006675155	860	spectra_filtered.mgf	GNPS-NUTRI-METAB-FEM-POS.mgf	0.98727	2765690.0	0	1.80475	7	0.000640869	355.103	1	temp/spectra_filtered.mgf860	1	neochlorogenic_acid	ESI	Orbitrap	Commercial	Ulaszewska	Marynka Ulaszewska	M+H	355.102	354.095	1	906-33-2	5280633.0	C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O	InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14+,16-/m1/s1	N/A	1	Positive	GNPS-NUTRI-METAB-FEM-POS	355.102	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C16H18O9	CWVRJTMFETXNAD-UHFFFAOYSA-N	CWVRJTMFETXNAD	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006675155
CCMSLIB00000220666	787	spectra_filtered.mgf	MASSBANK.mgf	0.987202	10461800.0	0	476.223	6	0.0976257	205.098	1	temp/spectra_filtered.mgf787	1	Massbank:KO004073 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid	ESI	LC-ESI-QQ	Isolated	Putative Massbank Match	Massbank	[M+H]+	205.0	0.0	1	73-22-3	N/A	OC(=O)[C@H](N)Cc(c1)c(c2)c(ccc2)n1	1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	N/A	3	Positive	MASSBANK	205.0	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000220666
CCMSLIB00003138638	800	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.984805	5044750.0	0	0.793079	9	0.000198364	250.119	1	temp/spectra_filtered.mgf800	1	Spectral Match to 2,4,6-Triallyloxy-1,3,5-triazine from NIST14	ESI	HCD	Isolated	Data from Pieter Dorrestein	Data deposited by daniel	M+H	250.119	0.0	1	101371	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	250.119	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003138638
CCMSLIB00005884235	126	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.984215	6601610.0	0	2.81844	6	0.000518799	184.074	1	temp/spectra_filtered.mgf126	1	PHOSPHOCHOLINE CHLORIDE - 40.00 eV	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+	184.073	0.0	1	72556-74-2	N/A	C[N+](C)(C)CCOP(O)(O)=O	InChI=1S/C5H14NO4P/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3,(H-,7,8,9)/p+1	N/A	1	Positive	GNPS-LIBRARY	184.073	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	YHHSONZFOIEMCP-UHFFFAOYSA-O	YHHSONZFOIEMCP	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005884235
CCMSLIB00003140236	3679	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.983306	2247490.0	0	0.700137	9	0.000549316	784.585	1	temp/spectra_filtered.mgf3679	1	Spectral Match to Arachidonoylthio-PC from NIST14	ESI	qTof	Isolated	Data from Gabriel Haddad	Data deposited by mjmeehan	M+H	784.584	783.56	1	146797822	N/A	CCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)SC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	InChI=1S/C44H82NO6PS/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)53-43(42-51-52(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h14,16,20,22,24-25,29,31,43H,6-13,15,17-19,21,23,26-28,30,32-42H2,1-5H3/b16-14-,22-20-,25-24-,31-29-/t43-/m1/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	784.584	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	YDSCLGYBUIDZNF-WWBBCYQPSA-N	YDSCLGYBUIDZNF	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003140236
