#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
1513	spectra_filtered.mgf	*..*		:4584	814	-1	0	177.054	1	0.993058	0	0	17577700.0	4744400.0	Spectral Match to 3-Hydroxy-4-methoxycinnamic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1513	-1	GNPS-NIST14-MATCHES.mgf	3.96435				6	0	0.000701904	177.055	0	CCMSLIB00003135300
1505	spectra_filtered.mgf	*..*		:5300	5300	-1	0	304.154	1	0.992758	0	0	5714110.0	3104800000.0	Massbank:EA281710 Cocaine| (1S,3S,4R,5R)-3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-4-carboxylic acid methyl ester [M+H]+	MASSBANK	temp/spectra_filtered.mgf1505	-1	MASSBANK.mgf	1.20403				9	0	0.000366211	304.154	0	CCMSLIB00000211410
99	spectra_filtered.mgf	*..*		:1232	50472	-1	0	189.16	1	0.991103	0	0	242.7	17604300.0	NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE M+H	MONA	temp/spectra_filtered.mgf99	-1	MONA.mgf	0.483996				6	0	9.15527e-05	189.16	0	CCMSLIB00006679502
2355	spectra_filtered.mgf	*..*		:4454	5267	-1	0	177.164	1	0.987577	0	0	2336430.0	380100.0	Spectral Match to 2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)- from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf2355	-1	GNPS-NIST14-MATCHES.mgf	5.33994				8	0	0.000946045	177.165	0	CCMSLIB00003139754
1564	spectra_filtered.mgf	*..*		:1131	4076	-1	0	290.139	1	0.987464	0	0	45694500.0	29500200.0	Norcocaine M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf1564	-1	GNPS-LIBRARY.mgf	0.736278				7	0	0.000213623	290.139	0	CCMSLIB00004721848
860	spectra_filtered.mgf	*..*		:360	2203	-1	0	355.102	1	0.98727	0	0	15076300.0	2765690.0	neochlorogenic_acid M+H	GNPS-NUTRI-METAB-FEM-POS	temp/spectra_filtered.mgf860	-1	GNPS-NUTRI-METAB-FEM-POS.mgf	1.80475				7	0	0.000640869	355.103	0	CCMSLIB00006675155
787	spectra_filtered.mgf	*..*		:9865	9865	-1	0	205.0	1	0.987202	0	0	58861400.0	10461800.0	Massbank:KO004073 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid [M+H]+	MASSBANK	temp/spectra_filtered.mgf787	-1	MASSBANK.mgf	476.223				6	0	0.0976257	205.098	0	CCMSLIB00000220666
800	spectra_filtered.mgf	*..*		:2090	4151	-1	0	250.119	1	0.984805	0	0	1090720.0	5044750.0	Spectral Match to 2,4,6-Triallyloxy-1,3,5-triazine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf800	-1	GNPS-NIST14-MATCHES.mgf	0.793079				9	0	0.000198364	250.119	0	CCMSLIB00003138638
126	spectra_filtered.mgf	*..*		:1082	9377	-1	0	184.073	1	0.984215	0	0	5316690.0	6601610.0	PHOSPHOCHOLINE CHLORIDE - 40.00 eV M+	GNPS-LIBRARY	temp/spectra_filtered.mgf126	-1	GNPS-LIBRARY.mgf	2.81844				6	0	0.000518799	184.074	0	CCMSLIB00005884235
3679	spectra_filtered.mgf	*..*		:2626	5749	-1	0	784.584	1	0.983306	0	0	25358800.0	2247490.0	Spectral Match to Arachidonoylthio-PC from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3679	-1	GNPS-NIST14-MATCHES.mgf	0.700137				9	0	0.000549316	784.585	0	CCMSLIB00003140236
1865	spectra_filtered.mgf	*..*		:1131	3195	-1	0	304.154	1	0.981396	0	0	12127700.0	18482900.0	Spectral Match to Cocaine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1865	-1	GNPS-NIST14-MATCHES.mgf	1.80605				9	0	0.000549316	304.155	0	CCMSLIB00003137682
3375	spectra_filtered.mgf	*..*		:2524	4308	-1	0	758.569	1	0.980988	0	0	8794860.0	2278710.0	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3375	-1	GNPS-NIST14-MATCHES.mgf	11.4255				8	0	0.00866699	758.578	0	CCMSLIB00003138795
3424	spectra_filtered.mgf	*..*		:2524	4308	-1	0	758.569	1	0.980766	0	0	8794860.0	4512390.0	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3424	-1	GNPS-NIST14-MATCHES.mgf	12.4714				8	0	0.00946045	758.578	0	CCMSLIB00003138795
2773	spectra_filtered.mgf	*..*		:1681	1958	-1	0	267.173	1	0.977996	0	0	34490.7	1179000.0	Spectral Match to Tributyl phosphate from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf2773	-1	GNPS-NIST14-MATCHES.mgf	0.342672				7	0	9.15527e-05	267.173	0	CCMSLIB00003136445
3203	spectra_filtered.mgf	*..*		:2524	4308	-1	0	758.569	1	0.976873	0	0	8794860.0	1699420.0	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3203	-1	GNPS-NIST14-MATCHES.mgf	4.18397				8	0	0.00317383	758.572	0	CCMSLIB00003138795
2578	spectra_filtered.mgf	*..*		:1022	1468	-1	0	250.119	1	0.97657	0	0	10322000.0	7300420.0	1,3,5-triprop-2-enyl-1,3,5-triazaperhydroine-2,4,6-trione CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf2578	-1	BERKELEY-LAB.mgf	5.42954				8	0	0.00135803	250.12	0	CCMSLIB00010103456
2580	spectra_filtered.mgf	*..*		:38201	50200	-1	0	250.119	1	0.975775	0	0	2980870.0	6888540.0	Massbank:LU040702 2,4,6-Tris(allyloxy)-1,3,5-triazine|Triallyl cyanurate|2,4,6-tris(prop-2-enoxy)-1,3,5-triazine M+H	MASSBANK	temp/spectra_filtered.mgf2580	-1	MASSBANK.mgf	2.19622				8	0	0.000549316	250.12	0	CCMSLIB00005763752
456	spectra_filtered.mgf	*..*		:668	8963	-1	0	284.099	1	0.975505	0	0	1588260.0	6884840.0	GUANOSINE - 30.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf456	-1	GNPS-LIBRARY.mgf	0.214838				6	0	6.10352e-05	284.099	0	CCMSLIB00005883821
2939	spectra_filtered.mgf	*..*		:3607	4039	-1	0	522.36	1	0.975466	0	0	1708930.0	1105090.0	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf2939	-1	GNPS-NIST14-MATCHES.mgf	5.60856				12	0	0.00292969	522.357	0	CCMSLIB00003138526
3086	spectra_filtered.mgf	*..*		:3265	4650	-1	0	706.538	1	0.975077	0	0	922457.0	5261500.0	Spectral Match to 1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3086	-1	GNPS-NIST14-MATCHES.mgf	98.9986				7	0	0.0699463	706.468	0	CCMSLIB00003139137
1346	spectra_filtered.mgf	*..*		:1	183	-1	0	577.133	1	0.973135	0	0	1.6799	2248120.0	Procyanidin_A2 M+H	WINE-DB-ORBITRAP	temp/spectra_filtered.mgf1346	-1	WINE-DB-ORBITRAP.mgf	1.58634				19	0	0.000915527	577.134	0	CCMSLIB00013639213
2611	spectra_filtered.mgf	*..*		:34	145	-1	0	415.282	1	0.973067	0	0	5127390.0	2061310.0	DEOXYCHOLATE M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf2611	-1	GNPS-MSMLS.mgf	164.022				6	0	0.0681152	415.214	0	CCMSLIB00005463896
359	spectra_filtered.mgf	*..*		:359	18822	-1	0	346.055	1	0.972887	0	0	114.157	1111180.0	Guanosine cyclic monophosphate [M+H]+	MONA	temp/spectra_filtered.mgf359	-1	MONA.mgf	0.352748				7	0	0.00012207	346.055	0	CCMSLIB00004691422
