cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
1	183.07846539273345	0.0853139	387		
2	167.97743660081483	0.10511201	50		
3	171.149584122951	0.11203245	7		
4	200.16490069548288	0.1301448	7	4.0	"""1-Methyl-6,7-dihydro-5H-pyrido[3,2,1-ij]quinolin-3-one CollisionEnergy:205060"""
5	137.98730931879385	0.16458496	-1		
6	139.98255820242875	0.18420851	-1		
7	190.9933037297261	0.19351368	105		
8	167.97741930514394	0.20293063	50		
9	217.9598081665277	0.22957696	7		
10	162.9984720749022	0.24359949	221		
11	137.9873523953763	0.24709173	-1		
12	199.9882774812783	0.27595425	7	12.0	fMet CollisionEnergy:205060
13	214.1804583254758	0.28477287	47		
14	139.98815693170988	0.3101352	-1		
15	181.0148522984708	0.3101352	376		
16	199.02967747085503	0.3101352	-1		
17	226.0124350603178	0.3101352	40		
18	190.9933292435128	0.3167329	39		
19	167.97747587709728	0.33323318	50		
20	143.0398551564288	0.33424562	-1		
21	158.00318626355892	0.33661497	-1		
22	139.01817962117292	0.33753377	-1		
23	208.039676239198	0.33753377	50	23.0	"""methyl 3-oxo-2-[(3,4,5-trimethoxyphenyl)methylene]benzo[b]furan-5-carboxylate CollisionEnergy:102040"""
24	146.16543724391664	0.34120753	-1		
25	130.00828493530315	0.341865	-1		
26	148.01880692646355	0.34229103	-1		
27	186.98129586634005	0.34231701	167		
28	185.9836877225632	0.34713602	40		
29	192.0620452776377	0.34816137	50		
30	267.9019288272216	0.34988174	7		
31	295.8968483816444	0.34988174	7		
32	167.0131275794594	0.35118613	50		
33	125.986566197273	0.3522738	-1		
34	137.9876074962359	0.35254112	91		
35	251.929654647275	0.3527371	7		
36	151.03553628230893	0.35573325	50		
37	145.03554993490084	0.3561282	-1		
38	232.92887913629104	0.3570366	-1		
39	309.97474481053723	0.35738346	-1		
40	369.9248303279815	0.35738346	-1		
41	286.9587963375002	0.35773033	-1		
42	423.955509182503	0.35773033	597		
43	439.93315098739663	0.35773033	597		
44	235.95224312895388	0.35802504	7		
45	123.04068991811184	0.36083674	7		
46	128.01959217646777	0.36083674	50		
47	143.99708898125485	0.36083674	-1		
48	216.9509340024699	0.36083674	50		
49	218.9839077961184	0.36083674	-1		
50	223.9892129182539	0.36083674	-1		
51	239.96681426190847	0.36083674	50		
52	241.99976052404296	0.36083674	7		
53	257.9773503019763	0.36083674	50		
54	265.01584370033964	0.36083674	7		
55	280.9933792899724	0.36083674	50		
56	169.0461243051172	0.36133134	50		
57	200.9732776949054	0.36133134	-1		
58	234.96164645156352	0.36133134	-1		
59	255.9445478121836	0.36238992	50		
60	288.921227018554	0.36410767	-1		
61	127.1233780689821	0.36562818	50		
62	259.89399233316306	0.36562848	7		
63	300.92051503794795	0.36562848	7		
64	305.8994504449845	0.36562848	7		
65	359.8184861066485	0.36562848	248		
66	505.7490926187359	0.36562848	248		
67	128.95096938170605	0.36957115	-1		
68	139.9633378135551	0.36957115	-1		
69	159.96924439489874	0.36957115	91		
70	180.99001112203203	0.36957115	91		
71	246.8620162482364	0.36957115	-1		
72	264.87287321383616	0.36957115	7		
73	285.8934472343934	0.36957115	7		
74	287.88862796868057	0.36957115	7		
75	326.9200254444106	0.36957115	7		
76	328.91516493640006	0.36957115	7		
77	141.9587332908647	0.37066376	91		
78	271.91658672294494	0.37065127	50		
79	154.9903787125373	0.37066376	7		
80	182.9852905472761	0.37066376	91	80.0	4-Hydroxyphenylpyruvic_acid
81	169.97754136232922	0.37329015	7		
82	147.11314653526136	0.37355518	-1		
83	481.7252837108773	0.3774503	-1		
84	171.99310794904343	0.3785325	7	84.0	3-Cyanocoumarin CollisionEnergy:102040
85	130.96660210873188	0.38138983	-1		
86	158.96153424643336	0.38138983	91		
87	186.956440337828	0.38138983	-1		
88	276.8967398069426	0.38138983	-1		
89	304.89164765301	0.38138983	-1		
90	363.7893617702799	0.38138983	-1		
91	404.816145773725	0.38138983	248		
92	148.97727540870503	0.38533252	-1		
93	176.97215776233156	0.38533252	7		
94	156.96630633710947	0.38533667	-1		
95	199.98801076241	0.38533252	7		
96	227.982869244914	0.38533252	47		
97	408.7874530007225	0.38533252	248		
98	449.81423421626505	0.38533252	248		
99	189.16009260264363	0.38739765	231	99.0	"""NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE"""
100	216.9204216593917	0.39116225	-1		
101	244.9151606226297	0.39116225	-1		
102	191.16446990434784	0.39489713	482		
103	213.1463986286232	0.39489713	242		
104	213.0751793618996	0.39671758	-1		
105	225.1963372961055	0.39671758	38		
106	251.0311318298797	0.39671758	-1		
107	224.01179507347103	0.3987123	91		
108	202.04769657003075	0.39970136	-1		
109	175.11932861374177	0.40065658	231	109.0	Massbank:PB000420 Arginine|2-amino-5-(diaminomethylideneamino)pentanoic acid
110	162.99845593417476	0.40365747	76		
111	181.01474208334213	0.40365747	376		
112	164.09179460399477	0.40760338	-1	112.0	Migalastat
113	171.0167834066797	0.40760338	-1		
114	208.972598085226	0.40760338	-1		
115	303.8837412086182	0.40916467	368		
116	228.19613378008123	0.41240746	47		
117	146.11692194958366	0.41262996	86		
118	222.98846355042343	0.41262996	-1		
119	134.045183847038	0.41348618	-1		
120	176.0918052993909	0.41405416	86		
121	146.0812822012467	0.41415364	-1		
122	144.9823356759704	0.414607	-1		
123	133.0609116150781	0.41549706	-1		
124	219.0267496911038	0.41699865	-1		
125	147.0766972427381	0.41843846	-1		
126	184.0735079805052	0.41846138	-1	126.0	PHOSPHOCHOLINE CHLORIDE - 40.00 eV
127	217.9598811598708	0.41896912	7		
128	130.05007603276644	0.41912937	326		
129	236.9388534753301	0.4204086	320		
130	174.1125665606342	0.42051113	231		
131	132.06592230217225	0.4214257	-1		
132	148.06046756418723	0.42177585	-1		
133	203.052919783747	0.4249756	310		
134	138.05506676029287	0.42689547	213		
135	147.08430162704664	0.42838818	-1		
136	168.0632712709433	0.42838818	-1		
137	184.0370760904404	0.42838818	-1		
138	308.13393183167665	0.42838818	247		
139	280.99555977889	0.42922255	-1		
140	138.13831677872304	0.4293069	155		
141	689.2117763179236	0.4293069	436	141.0	Stachyose (known structural isomers: 0; isobaric peaks in run: 0)
142	128.07079208233606	0.42983425	-1		
143	215.01754625166336	0.42983425	-1		
144	381.0790984651816	0.43486056	-1		
145	160.09700284681676	0.4349133	86		
146	156.10215403375108	0.43625686	-1		
147	365.1054097268634	0.43624955	98		
148	275.10310691814	0.43672144	3		
149	138.14226146419193	0.437186	155		
150	289.10300647149336	0.437186	3	150.0	2-methyl-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypyran-4-one
151	684.2563073510669	0.437186	19	151.0	Stachyose CollisionEnergy:102040
152	137.96942939518277	0.43817586	213		
153	192.0866647182769	0.43916568	275		
154	177.06183257199638	0.4416477	86		
155	162.07622945899092	0.44277707	86		
156	198.0973041827341	0.44280005	19	156.0	fructose (known structural isomers: 6; isobaric peaks in run: 1)
157	295.8969312356213	0.4436505	7		
158	172.09677741827193	0.4441297	59		
159	275.12363333235794	0.44431102	3		
160	158.08131452579678	0.445581	86		
161	246.0608867206426	0.4460612	489		
162	224.8990668277081	0.44708458	259		
163	488.1973100686489	0.44705936	-1		
164	247.9150326916592	0.44708458	7		
165	519.1779827650918	0.44705936	-1		
166	204.08676979773	0.44804582	310		
167	543.132422139179	0.4485349	-1		
168	136.07580166969592	0.45200676	-1		
169	154.08640404611083	0.45200676	539		
170	261.1727029364138	0.45200676	312		
171	360.1498510544824	0.45282453	19	171.0	TURANOSE
172	127.0392890905148	0.45312318	-1		
173	343.1235984970924	0.45331037	297		
174	387.03976453221645	0.45331037	-1		
175	325.1129242339514	0.45396218	19	175.0	Spectral Match to Lactulose from NIST14
176	145.0497982859849	0.45593953	-1		
177	330.13954913238763	0.45641714	19		
178	522.2029220422246	0.45858184	19	178.0	RAFFINOSE
179	527.1585483318513	0.45858184	436	179.0	RAFFINOSE
180	139.98244236153752	0.46404377	-1		
181	175.10796667618723	0.46533293	-1		
182	158.11771209004425	0.46777123	-1		
183	160.13325680968669	0.46777123	-1		
184	184.0970876004996	0.46777123	-1		
185	186.11259998255528	0.46777123	-1		
186	200.12804698361728	0.46777123	380	186.0	Massbank:EQ361904 Ecgonine-methyl-ester (EME)|Ecgonine methyl ester|Methyl 3-hydroxy-8-methyl-8-azabicyclo[3.2.1]octane-4-carboxylate
187	202.1073638166989	0.46777123	-1		
188	216.12321753354533	0.46777123	-1		
189	173.09259504245534	0.4682681	381		
190	236.14939620824924	0.4682681	-1		
191	136.06205358966375	0.46876496	-1		
192	209.1021705991879	0.46876496	145		
193	226.1286814634909	0.46876496	145		
194	344.1553458399223	0.46876496	297		
195	144.10212643907292	0.46914148	-1		
196	130.08648485605636	0.4691526	-1		
197	142.08648848664996	0.4708321	-1		
198	256.0815574640998	0.4708321	191		
199	340.12388742810714	0.47324646	-1		
200	128.1072291080138	0.47566077	-1		
201	231.08415382315889	0.47668362	-1		
202	439.17915693372566	0.47668362	-1		
203	257.8937771180882	0.4784454	77		
204	215.1391527688896	0.47879872	433		
205	144.13837190376597	0.48115262	-1		
206	137.98769498035892	0.48202354	216		
207	162.99843001770262	0.48202354	76		
208	267.9019591252926	0.48202354	7		
209	298.9203811148982	0.48202354	77		
210	142.12282157672385	0.48355862	-1		
211	168.10203933928975	0.48355862	85		
212	284.9046228309404	0.48363808	77		
213	271.90851927968515	0.48666096	77		
214	290.912564827506	0.48666096	-1		
215	321.9617508362371	0.48913383	391		
216	229.1549059173321	0.4903164	350		
217	279.92435615508555	0.49132657	400		
218	277.9718691931811	0.49147314	391		
219	172.9773023623265	0.49407974	557		
220	182.0293616002212	0.49415603	450		
221	186.00887274176432	0.4947971	-1		
222	281.9174877248879	0.4949172	-1		
223	167.01756820481285	0.4950726	85		
224	144.9977251908777	0.49665695	-1		
225	214.00352534154	0.49907547	-1		
226	154.99047567342132	0.4993905	688		
227	128.9510551383831	0.500469	-1		
228	266.9460302004905	0.50091696	-1		
229	247.0426698933	0.5011677	489		
230	168.01376307308428	0.50157076	85		
231	222.061064077498	0.5017941	419		
232	245.9909618015113	0.50491583	7		
233	306.9972076963861	0.50731885	-1		
234	196.0086785750596	0.50976217	-1		
235	169.97766193142996	0.5198314	7		
236	229.97482443609115	0.5200085	-1		
237	252.9302138616488	0.52390194	-1		
238	254.1600430037412	0.52487916	-1		
239	312.9669299251998	0.536078	-1		
240	379.9670008461528	0.5390957	391		
241	182.98545513072395	0.5393993	551		
242	284.1340881653508	0.54149586	-1		
243	231.97531529388343	0.54308754	7		
244	153.99808247125884	0.5440903	688		
245	225.19615636916305	0.56296223	38		
246	137.06537440031573	0.5739413	-1		
247	136.06201888978853	0.5740276	-1		
248	174.11266790059585	0.5789538	381		
249	238.9146502114081	0.58207446	-1		
250	256.0818058496097	0.58212453	191		
251	124.03967615110804	0.58397794	-1		
252	160.13338748875023	0.5869871	-1		
253	181.99321295308272	0.5890142	450		
254	344.155500581744	0.59006613	297		
255	141.9588523664083	0.59267604	-1		
256	156.10216367476116	0.59386665	-1		
257	162.07626759925964	0.595012	-1		
258	141.0548488796073	0.5980098	145		
259	146.0926368341391	0.5980098	-1		
260	155.07052767229433	0.5980098	101		
261	209.1022517145335	0.5980098	145		
262	226.12875899780968	0.5980098	145		
263	231.0841797902968	0.5980098	-1		
264	247.0581384709656	0.5980098	-1		
265	319.10024099734125	0.5980098	-1		
266	439.1789951391195	0.5980098	-1		
267	130.08653433652182	0.60244966	326		
268	144.10213956643634	0.60244966	-1		
269	130.1228651230124	0.60299945	-1		
270	204.12319411023464	0.60299945	235		
271	216.1595746252221	0.60299945	115		
272	171.9931957017985	0.6062838	557		
273	222.06108680469976	0.6080319	419		
274	256.10291132067084	0.6080319	-1		
275	261.05838288737584	0.61170506	-1		
276	227.01643467992545	0.61207354	145		
277	199.98817927403093	0.61636597	7	277.0	2-tert-butyl-4-methyl-1,3-thiazole-5-carboxylic acid
278	284.1342198649219	0.6242578	-1		
279	142.12273020511773	0.62687427	-1		
280	150.05859333533505	0.62687427	310		
281	158.96160865605643	0.6282671	-1		
282	244.12950488815403	0.6302367	29		
283	236.93885571168505	0.63286674	320		
284	139.00280643324157	0.63323194	-1		
285	210.06100559100733	0.63323194	145		
286	215.0163803918385	0.63323194	-1		
287	230.99033668651884	0.63323194	-1		
288	287.9801520401555	0.63323194	-1		
289	393.98278877466265	0.63323194	391		
290	428.9782814765284	0.63323194	84		
291	437.97300904732174	0.63323194	391		
292	236.9983847585057	0.63592786	-1		
293	450.9602417749055	0.636494	84		
294	423.0084501720828	0.63656795	-1		
295	337.1606714678883	0.63832414	81		
296	182.9772592334151	0.63857436	91		
297	242.9826751216169	0.638632	391		
298	144.11337926102826	0.6429371	-1		
299	254.11367848642112	0.6429371	-1		
300	186.95655652432387	0.6455908	167		
301	138.05520904150825	0.6464222	-1		
302	188.09199235614875	0.64856267	275		
303	206.10258975985616	0.64856267	275		
304	243.87824280275865	0.64974844	77		
305	227.9829926504076	0.64995784	47		
306	126.12799122833636	0.6506887	-1		
307	144.13833681847552	0.6506887	-1		
308	168.1020091256343	0.6506887	85		
309	229.1549436604432	0.6521235	350		
310	176.9722227060673	0.6530654	7		
311	330.0598292303141	0.6566105	81	311.0	ADENOSINE 2',3'-CYCLIC MONOPHOSPHATE - 40.0 eV
312	215.1393023174006	0.6584941	433		
313	303.8836379150213	0.65889525	368		
314	170.08153212991496	0.66283023	202		
315	295.8968339657278	0.6632539	7		
316	130.96668378730843	0.66406244	439		
317	162.07633280186064	0.6654082	-1		
318	128.1072414546473	0.66660106	-1		
319	180.07870636178447	0.66660106	-1		
320	197.1286774228528	0.66660106	-1		
321	217.95985450461043	0.6669762	7		
322	267.9019787265866	0.6669762	7		
323	852.5109513661133	0.6756806	53	323.0	Alpha-Chaconine (known structural isomers: 0; isobaric peaks in run: 1)
324	332.1340021957059	0.6768093	-1		
325	168.01375395602582	0.6779746	-1		
326	186.99280669100727	0.6794524	167		
327	196.0450897593611	0.6794524	-1		
328	224.0767527567212	0.67957956	-1		
329	229.0322107533838	0.67957956	350		
330	160.10833457833877	0.6809218	-1		
331	243.0978541676577	0.6809218	391		
332	178.0863983803649	0.68253845	504		
333	283.23801525568524	0.68253845	115		
334	145.0498383440271	0.68748003	-1		
335	305.1210857989756	0.68748003	-1		
336	185.09243234208884	0.68898845	40		
337	140.10715250942687	0.6904968	-1		
338	144.06581938580024	0.6904968	-1		
339	290.15970701523696	0.6904968	98		
340	202.11877772140505	0.69391805	-1		
341	239.1126790628968	0.6958671	19		
342	241.15479139013937	0.69600725	358	342.0	N,N-dimethyl-proline-proline betaine
343	284.1704786230526	0.69738966	77		
344	256.13922180350124	0.6974632	19		
345	261.0946620805441	0.6974632	-1		
346	188.1282977663924	0.6984467	168		
347	277.0686746174836	0.69859284	-1		
348	204.1346485195503	0.7031375	540		
349	337.1606145090296	0.70386535	81		
350	188.16474123336369	0.70639664	168		
351	216.1596401741785	0.70639664	115		
352	212.1396886933871	0.7091018	-1		
353	160.05254527532665	0.71433824	-1		
354	178.06316343603208	0.71433824	504		
355	232.15449256093297	0.71433824	290		
356	235.1192973520532	0.7205049	-1	356.0	Spectral Match to His-Pro from NIST14
357	298.09249501689794	0.7205049	-1		
358	281.22244359211135	0.7222757	115		
359	346.05485808863466	0.725359	81	359.0	Guanosine cyclic monophosphate
360	284.13436217342047	0.7289568	210		
361	314.1810995313634	0.7289568	-1		
362	210.09756406469543	0.7290457	-1		
363	215.05292935705177	0.7290457	-1		
364	130.12283922552345	0.73021317	-1		
365	291.1051627369956	0.73354954	-1		
366	251.9295837885253	0.750709	140		
367	267.9019232391868	0.7536194	7		
368	332.13412297807	0.75423795	98		
369	295.8967688457236	0.7550285	7		
370	182.08148692755617	0.75652426	271	370.0	L-TYROSINE - 50.0 eV
371	136.07590995897797	0.75805664	-1		
372	165.05504470665653	0.75805664	112		
373	187.1080983216819	0.7626171	29		
374	204.13469810115603	0.7626171	540		
375	229.1804551116536	0.76382995	47		
376	273.253817338204	0.76382995	228		
377	176.0920378026266	0.7669637	10		
378	247.9150279770413	0.7682615	7		
379	142.12282088941467	0.7697795	-1		
380	182.1178773486293	0.7697795	271	380.0	L-TYROSINE - 50.0 eV
381	200.9443237118282	0.7697795	561		
382	377.2199361557791	0.7697795	239		
383	435.2260936302671	0.7697795	239		
384	462.24475631239824	0.7697795	239		
385	175.14853052714642	0.772584	112		
386	193.15912410996089	0.772584	198		
387	211.1695684192971	0.772584	47		
388	228.19613591240204	0.772584	47		
389	250.1780289366801	0.772584	-1		
390	158.961598026317	0.7741997	10		
391	217.95979850055105	0.77432096	7		
392	190.99327702819247	0.77687687	39		
393	228.12307825195344	0.77770656	690		
394	224.8990271431937	0.77870214	259		
395	158.08161608218904	0.77943146	-1		
396	130.96665620866165	0.7810394	439		
397	162.99841288673397	0.78294957	-1		
398	200.12823408648177	0.783044	561		
399	139.98251146527463	0.78504777	-1		
400	156.1021485649602	0.7856252	-1		
401	342.11624214995527	0.78789604	-1		
402	137.9873332299488	0.7889463	-1		
403	279.92436498130314	0.7891428	400		
404	284.90464703078555	0.79105395	77		
405	303.1053992102189	0.7963085	-1		
406	140.10715230559	0.8015585	-1		
407	158.11779777433398	0.8015585	433		
408	221.09225057294643	0.8015585	86		
