CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3506	3607	1	0.7678	-14.016
3252	3298	1	0.8761	-0.005
3220	3228	1	0.8536	0.001
3228	3506	1	0.704	13.974
3298	3506	1	0.7119	-14.016
2189	2193	2	0.8423	-41.027
2190	2193	2	0.9131	-24.000
2193	2325	2	0.9338	-14.016
1657	2190	2	0.8679	-17.026
1657	2361	2	0.8699	15.995
2361	2362	2	0.8635	-17.027
2190	2322	2	0.9262	-14.016
2321	2322	2	0.8484	-17.027
2322	2325	2	0.9281	-24.000
2321	2325	2	0.8496	-41.027
2189	2321	2	0.8469	-14.016
2189	2190	2	0.8673	-17.027
1397	1559	2	0.8739	-0.000
1397	2155	2	0.8447	18.010
2155	2361	2	0.8542	13.980
974	1081	3	0.7766	288.065
974	1149	3	0.7369	-1.003
974	1153	3	0.8019	288.066
974	1234	3	0.7575	288.067
974	1413	3	0.803	288.066
1221	1229	3	0.7438	-26.963
1035	1346	3	0.724	61.985
1139	1346	3	0.7126	288.063
1159	1346	3	0.8065	-152.047
1160	1346	3	0.7088	-2.016
1161	1346	3	0.9176	-0.000
1304	1346	3	0.7264	286.048
1323	1346	3	0.7462	-114.047
1346	1442	3	0.7834	-286.048
718	731	3	0.8596	-2.015
731	756	3	0.8815	-0.000
731	789	3	0.7329	30.010
731	897	3	0.7086	15.995
731	954	3	0.7779	-40.032
731	962	3	0.7404	-42.048
731	1386	3	0.7803	-32.006
1081	1142	3	0.7422	288.064
1081	1149	3	0.787	-289.068
1081	1153	3	0.8725	0.001
1081	1231	3	0.8043	288.064
1081	1234	3	0.75	0.002
1081	1331	3	0.8001	288.065
1081	1413	3	0.8309	0.001
945	1081	3	0.7605	-286.048
969	1081	3	0.7327	-574.113
1139	1280	3	0.7305	-288.065
1280	1439	3	0.7108	576.128
922	1280	3	0.7146	-288.064
1211	1276	3	0.7592	-168.102
1222	1276	3	0.7746	-170.117
1272	1276	3	0.9352	-308.110
1275	1276	3	0.9773	-162.052
1276	1373	3	0.7562	184.097
1276	1913	3	0.9278	308.110
1276	1914	3	0.9724	162.052
150	424	3	0.8637	-39.022
150	611	3	0.876	-84.057
150	1220	3	0.9039	-176.000
150	1287	3	0.8853	-176.000
150	1320	3	0.8857	-160.005
150	1388	3	0.9113	-160.005
150	1458	3	0.9033	-160.005
150	1520	3	0.8922	-144.010
150	1913	3	0.8667	-204.031
532	655	3	0.8492	-107.001
611	655	3	0.8663	5.063
945	969	3	0.7594	288.065
969	1142	3	0.725	-286.049
969	1153	3	0.7844	-574.112
969	1231	3	0.7694	-286.049
969	1304	3	0.737	2.016
969	1331	3	0.8039	-286.047
969	1347	3	0.7468	-284.034
969	1413	3	0.7427	-574.112
969	1442	3	0.746	2.015
1035	1323	3	0.9296	176.032
1159	1323	3	0.8626	-38.000
1320	1323	3	0.9672	-13.979
1323	1388	3	0.9221	13.979
1323	1458	3	0.9104	13.979
1149	1413	3	0.7662	289.068
1153	1413	3	0.8632	-0.001
1231	1413	3	0.8118	-288.063
1234	1413	3	0.7372	-0.001
1331	1413	3	0.8147	-288.065
1347	1413	3	0.728	-290.079
945	1413	3	0.7874	-286.047
