CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2021	2023	-148.053	0.000	0.8381	0.6579	1
2021	2024	-329.163	0.000	0.8443	0.6305	1
2021	2054	-310.106	0.000	0.9194	0.7573	1
2021	2057	7.007	0.000	0.7765	0.6681	1
2021	2058	-162.032	0.000	0.8080	0.6376	1
2021	2059	-315.148	0.000	0.8495	0.6721	1
2021	2065	-546.210	0.000	0.7188	0.5824	1
2021	2075	-74.026	0.000	0.8348	0.5486	1
2021	2081	-315.148	0.000	0.7263	0.5831	1
2021	2084	-315.148	0.000	0.7424	0.6425	1
2021	2087	-148.053	0.000	0.8016	0.5584	1
2021	2089	-454.148	0.000	0.8944	0.6910	1
2021	2109	-148.053	0.000	0.7146	0.5355	1
2021	2137	-74.026	0.000	0.8532	0.6540	1
2021	2161	-74.026	0.000	0.8268	0.6204	1
2021	2173	-148.053	0.000	0.8265	0.6009	1
2021	2174	-546.211	0.000	0.7460	0.5973	1
2021	2175	-450.153	0.000	0.7624	0.5133	1
2021	2225	-74.026	0.000	0.8624	0.6268	1
2021	2226	-446.122	0.000	0.8361	0.5768	1
2021	2247	-111.040	0.000	0.7254	0.5144	1
2021	2252	-148.053	0.000	0.8134	0.6172	1
2021	2253	-477.216	0.000	0.8165	0.6167	1
2021	2284	-148.053	0.000	0.8505	0.6230	1
2021	2311	-296.106	0.000	0.8150	0.6048	1
2021	2342	-296.106	0.000	0.8025	0.6048	1
2021	2410	-296.106	0.000	0.8043	0.5820	1
2021	2435	-296.106	0.000	0.8254	0.6270	1
2021	2438	-109.061	0.000	0.7477	0.5078	1
2021	2439	-162.069	0.000	0.7915	0.5533	1
2021	2732	25.870	0.000	0.7407	0.5312	1
2021	3259	25.906	0.000	0.7832	0.4988	1
2022	2023	-141.064	0.000	0.7072	0.6056	1
2022	2024	-322.173	0.000	0.7013	0.6397	1
2022	2025	-336.153	0.000	0.9567	0.7683	1
2022	2054	-303.117	0.000	0.7129	0.6056	1
2022	2058	-155.042	0.000	0.7156	0.6328	1
2022	2074	-336.153	0.000	0.9726	0.8340	1
2022	2137	-67.037	0.000	0.7369	0.5997	1
2022	2161	-67.037	0.000	0.7526	0.5455	1
2022	2225	-67.037	0.000	0.7022	0.5541	1
2022	2226	-439.133	0.000	0.7028	0.6342	1
2022	2252	-141.064	0.000	0.7760	0.6039	1
2022	2253	-470.227	0.000	0.7319	0.5938	1
2022	2284	-141.063	0.000	0.7174	0.6184	1
2022	2342	-289.116	0.000	0.7136	0.6089	1
2022	2435	-289.117	0.000	0.7077	0.6464	1
2023	2024	-181.110	0.000	0.8751	0.6109	1
2023	2054	-162.053	0.000	0.8931	0.7317	1
2023	2057	155.060	0.000	0.7228	0.5959	1
2023	2058	-13.979	0.000	0.8773	0.7345	1
2023	2059	-167.095	0.000	0.8670	0.6268	1
2023	2065	-398.158	0.000	0.7783	0.6170	1
2023	2075	74.026	0.000	0.8644	0.5804	1
2023	2081	-167.095	0.000	0.8031	0.7074	1
2023	2084	-167.096	0.000	0.7126	0.6061	1
2023	2087	-0.000	0.000	0.8016	0.6246	1
2023	2089	-306.095	0.000	0.7766	0.6007	1
2023	2109	-0.000	0.000	0.7819	0.5980	1
2023	2137	74.026	0.000	0.8851	0.6787	1
2023	2161	74.026	0.000	0.8566	0.6212	1
2023	2173	-0.000	0.000	0.9210	0.7701	1
2023	2174	-398.158	0.000	0.8207	0.6697	1
2023	2175	-302.101	0.000	0.8327	0.5524	1
2023	2225	74.026	0.000	0.8791	0.6357	1
2023	2226	-298.069	0.000	0.8892	0.6334	1
2023	2247	37.013	0.000	0.8150	0.6235	1
2023	2252	-0.000	0.000	0.9339	0.7821	1
2023	2253	-329.163	0.000	0.8663	0.6511	1
2023	2284	0.000	0.000	0.9421	0.7833	1
2023	2311	-148.053	0.000	0.8751	0.6852	1
2023	2342	-148.053	0.000	0.8528	0.6301	1
2023	2410	-148.053	0.000	0.8538	0.6010	1
2023	2435	-148.053	0.000	0.8821	0.7009	1
2023	2438	38.992	0.000	0.8496	0.6074	1
2023	2439	-14.016	0.000	0.8644	0.6147	1
2023	2457	174.047	0.000	0.7237	0.5465	1
2023	2732	173.922	0.000	0.7808	0.5503	1
2023	3259	173.958	0.000	0.8284	0.5336	1
2024	2054	19.056	0.000	0.8917	0.6658	1
2024	2058	167.131	0.000	0.8485	0.5884	1
2024	2059	14.015	0.000	0.8974	0.7591	1
2024	2065	-217.048	0.000	0.7532	0.5236	1
2024	2075	255.136	0.000	0.8254	0.4913	1
2024	2081	14.015	0.000	0.7313	0.5741	1
2024	2084	14.014	0.000	0.7007	0.5839	1
2024	2087	181.110	0.000	0.7277	0.4896	1
2024	2089	-124.985	0.000	0.8009	0.6399	1
