feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
1000	1.0	0.7511252	ISDB	http://www.wikidata.org/entity/Q105119564	ISIRVTHXRLKMRV-UHFFFAOYSA-N	InChI=1S/C11H10O4/c1-13-9-6-8(11(12)14-2)5-7-3-4-15-10(7)9/h3-6H,1-2H3	COC(=O)c1cc(OC)c2occc2c1	C11H10O4	nan	206.0579088	7-Methoxybenzofuran-5-carboxylic acid methyl ester	ISIRVTHXRLKMRV	Shikimates and Phenylpropanoids	Coumarins	Furocoumarins	http://www.wikidata.org/entity/Q11042525	Zanthoxylum wutaiense	570620.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Rutaceae']	['Unknown']	['Zanthoxylum']	['Zanthoxylum wutaiense']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	2	8.00450086593628	1	59	Shikimates and Phenylpropanoids	0.42105263157894735	Coumarins	0.42105263157894735	Simple coumarins	0.42105263157894735
1001	1.0|1.0	0.0|0.0	MS1_match|MS1_match	http://www.wikidata.org/entity/Q105269938|http://www.wikidata.org/entity/Q105151716	UCJAYNRULZBAQJ-BVTMAQQCSA-N|LHDWRKICQLTVDL-UHFFFAOYSA-N	InChI=1S/C17H22O10/c1-24-15(23)9-6-25-16(11-7(4-18)2-3-8(9)11)27-17-14(22)13(21)12(20)10(5-19)26-17/h2,4,6,8,10-14,16-17,19-22H,3,5H2,1H3/t8-,10-,11-,12-,13+,14-,16+,17+/m1/s1|InChI=1S/C15H22O10/c16-3-6-9(19)10(20)11(21)14(23-6)24-13-7-5(1-2-22-13)8(18)12-15(7,4-17)25-12/h1-2,5-14,16-21H,3-4H2	COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(C=O)=CC[C@H]12|OCC1OC(OC2OC=CC3C(O)C4OC4(CO)C23)C(O)C(O)C1O	C17H22O10|C15H22O10	pos_1_1proton1ammonium|pos_1_1proton1acetonitrile	386.121296904|362.121296904	methyl (1S,4aS,7aS)-7-formyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate|Catalpinoside	UCJAYNRULZBAQJ|LHDWRKICQLTVDL	Terpenoids|Terpenoids	Monoterpenoids|Monoterpenoids	Iridoids monoterpenoids|Iridoids monoterpenoids	http://www.wikidata.org/entity/Q714955|http://www.wikidata.org/entity/Q161777	Cerbera manghas|Vinca minor	992624.0|142101.0	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Gentianales']|['Gentianales']	['Apocynaceae']|['Apocynaceae']	['Plumerieae']|['Vinceae']	['Cerbera']|['Vinca']	['Cerbera manghas']|['Vinca minor']	nan|nan	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Gentianales']|['Gentianales']	['Apocynaceae']|['Apocynaceae']	nan|nan	nan|nan	nan|nan	6|6	3|3	7.5|7.5	1|1	210	Terpenoids	0.3333333333333333	Steroids	0.25	Iridoids monoterpenoids	0.16666666666666666
1002	1.0|1.0	0.0|0.0	MS1_match|MS1_match	http://www.wikidata.org/entity/Q105269938|http://www.wikidata.org/entity/Q105176034	UCJAYNRULZBAQJ-BVTMAQQCSA-N|MZTHHZKTACHLMV-UHFFFAOYSA-N	InChI=1S/C17H22O10/c1-24-15(23)9-6-25-16(11-7(4-18)2-3-8(9)11)27-17-14(22)13(21)12(20)10(5-19)26-17/h2,4,6,8,10-14,16-17,19-22H,3,5H2,1H3/t8-,10-,11-,12-,13+,14-,16+,17+/m1/s1|InChI=1S/C36H42O20/c1-14(51-23(40)6-4-15-3-5-20(19(39)9-15)52-34-29(45)27(43)25(41)21(11-37)53-34)17-10-36(56-32(17)48)8-7-16-18(31(47)49-2)13-50-33(24(16)36)55-35-30(46)28(44)26(42)22(12-38)54-35/h3-10,13-14,16,21-22,24-30,33-35,37-39,41-46H,11-12H2,1-2H3	COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(C=O)=CC[C@H]12|COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1C=CC21C=C(C(C)OC(=O)C=Cc2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)C(=O)O1	C17H22O10|C36H42O20	pos_1_1sodium|pos_2_1proton1sodium	386.121296904|794.226943744	methyl (1S,4aS,7aS)-7-formyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate|methyl 4'-[1-[3-[3-hydroxy-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-enoyloxy]ethyl]-5'-oxo-1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyspiro[4a,7a-dihydro-1H-cyclopenta[c]pyran-7,2'-furan]-4-carboxylate	UCJAYNRULZBAQJ|MZTHHZKTACHLMV	Terpenoids|Terpenoids	Monoterpenoids|Monoterpenoids	Iridoids monoterpenoids|Iridoids monoterpenoids	http://www.wikidata.org/entity/Q714955|http://www.wikidata.org/entity/Q2837671	Cerbera manghas|Allamanda schottii	992624.0|944806.0	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Gentianales']|['Gentianales']	['Apocynaceae']|['Apocynaceae']	['Plumerieae']|['Plumerieae']	['Cerbera']|['Allamanda']	['Cerbera manghas']|['Allamanda schottii']	nan|nan	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Gentianales']|['Gentianales']	['Apocynaceae']|['Apocynaceae']	nan|nan	nan|nan	nan|nan	6|6	3|3	7.5|7.5	1|1	437	Terpenoids	1.0	Steroids	0.5	Iridoids monoterpenoids	0.5
1003	1.0	0.66316783	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	FJFIIRZFFWWHIL	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.6526713371276855	1	214	Alkaloids	0.7647058823529411	Ornithine alkaloids	0.5882352941176471	Tropane alkaloids	0.5882352941176471
1005	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105226482	QRMASVGVVOOIOZ-WDWIJTSISA-N	InChI=1S/C32H39NO10/c1-33-21-16-22(42-29(34)10-8-19-12-25(36-2)31(40-6)26(13-19)37-3)18-23(33)24(17-21)43-30(35)11-9-20-14-27(38-4)32(41-7)28(15-20)39-5/h8-15,21-24H,16-18H2,1-7H3/b10-8+,11-9+/t21-,22-,23+,24-/m0/s1	COc1cc(/C=C/C(=O)O[C@H]2C[C@H]3C[C@H](OC(=O)/C=C/c4cc(OC)c(OC)c(OC)c4)[C@@H](C2)N3C)cc(OC)c1OC	C32H39NO10	pos_2_2proton1acetonitrile	597.257396448	Pervilleine C	QRMASVGVVOOIOZ	Alkaloids	nan	nan	http://www.wikidata.org/entity/Q15379067	Erythroxylum pervillei	6100352.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Erythroxylaceae']	['Unknown']	['Erythroxylum']	['Erythroxylum pervillei']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Erythroxylaceae']	nan	['Erythroxylum']	nan	7	1	7.5	1	13	Alkaloids	0.5	Ornithine alkaloids	0.125	Simple diketopiperazine alkaloids	0.125
1006	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q2499888	GVGYEFKIHJTNQZ-RFQIPJPRSA-N	InChI=1S/C16H19NO4/c1-17-11-7-8-12(17)14(15(18)19)13(9-11)21-16(20)10-5-3-2-4-6-10/h2-6,11-14H,7-9H2,1H3,(H,18,19)/t11-,12+,13-,14+/m0/s1	CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2	C16H19NO4	pos_1_1proton1methanol	289.131408088	(1R,2R,3S,5S)-3-benzoyloxy-8-methyl-8-azoniabicyclo[3.2.1]octane-2-carboxylate	GVGYEFKIHJTNQZ	Alkaloids	Ornithine alkaloids	Tropane alkaloids	http://www.wikidata.org/entity/Q158018	Erythroxylum coca	57960.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Erythroxylaceae']	['Unknown']	['Erythroxylum']	['Erythroxylum coca']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Erythroxylaceae']	nan	['Erythroxylum']	['Erythroxylum coca']	8	3	9.5	1	389	Alkaloids	0.6666666666666666	Ornithine alkaloids	0.6666666666666666	Tropane alkaloids	0.6666666666666666
1008	11.0	0.50331765	ISDB	http://www.wikidata.org/entity/Q27105777	RUVINXPYWBROJD-UHFFFAOYSA-N	InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3	CC=Cc1ccc(OC)cc1	C10H12O	nan	148.088815004	Methoxy-4-propenylbenzene	RUVINXPYWBROJD	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q11255805	Swertia japonica	774409.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Gentianales']	['Gentianaceae']	['Gentianeae']	['Swertia']	['Swertia japonica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Gentianales']	nan	nan	nan	nan	5	0	7.013270616531372	1	-1	nan	nan	nan	nan	nan	nan
1009	7.0	0.2952444	ISDB	http://www.wikidata.org/entity/Q76309059	DKVQOAMBVKKPAM-MDZDMXLPSA-N	InChI=1S/C13H16O/c1-4-13(2,3)10-9-11-5-7-12(14)8-6-11/h4-10,14H,1H2,2-3H3/b10-9+	C=CC(C)(C)/C=C/c1ccc(O)cc1	C13H16O	nan	188.120115132	4-(3,3-Dimethyl-1,4-pentadienyl)phenol	DKVQOAMBVKKPAM	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q15530962	Cullen corylifolium	541330.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Psoraleeae']	['Cullen']	['Cullen corylifolium']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	3	6.6809775829315186	1	378	Shikimates and Phenylpropanoids	1.0	Phenylpropanoids (C6-C3)	1.0	Cinnamic acids and derivatives	0.6666666666666666
1010	3.0	0.534084	ISDB	http://www.wikidata.org/entity/Q104396389	SWYRVCGNMNAFEK-MHXFFUGFSA-N	InChI=1S/C19H30O8/c1-10-7-12(21)8-18(3,4)19(10,25)6-5-11(2)26-17-16(24)15(23)14(22)13(9-20)27-17/h5-7,11,13-17,20,22-25H,8-9H2,1-4H3/b6-5+/t11-,13-,14-,15+,16-,17-,19-/m1/s1	CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/[C@@H](C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C19H30O8	nan	386.19406792	Roseoside	SWYRVCGNMNAFEK	Terpenoids	Apocarotenoids	Megastigmanes	http://www.wikidata.org/entity/Q1207043	Trachelospermum jasminoides	495811.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Gentianales']	['Apocynaceae']	['Apocyneae']	['Trachelospermum']	['Trachelospermum jasminoides']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Gentianales']	['Apocynaceae']	nan	nan	nan	6	3	9.636336088180542	1	243	Terpenoids	0.6	Apocarotenoids	0.4	Megastigmanes	0.4
1011	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105218383	QCOCYAQJPFXXLG-FJYJEZKOSA-N	InChI=1S/C57H90O24/c1-25-46(34(64-8)19-39(70-25)74-31-14-17-56(24-68-29(5)59)30(18-31)12-13-33-32(56)15-16-54(6)51-38-23-69-55(51,7)81-57(33,54)80-38)76-40-20-35(65-9)47(26(2)71-40)77-41-21-36(66-10)48(27(3)72-41)78-53-45(63)50(67-11)49(28(4)73-53)79-52-44(62)43(61)42(60)37(22-58)75-52/h12,25-28,31-53,58,60-63H,13-24H2,1-11H3/t25?,26?,27?,28?,31-,32-,33+,34+,35+,36+,37?,38+,39-,40-,41-,42+,43-,44?,45?,46+,47+,48+,49+,50+,51-,52-,53-,54+,55+,56+,57-/m0/s1	CO[C@@H]1C(O)[C@H](O[C@@H]2C(C)O[C@@H](O[C@@H]3C(C)O[C@@H](O[C@@H]4C(C)O[C@@H](O[C@H]5CC[C@@]6(COC(C)=O)C(=CC[C@@H]7[C@@H]6CC[C@]6(C)[C@@H]8[C@H]9CO[C@]8(C)O[C@@]76O9)C5)C[C@H]4OC)C[C@H]3OC)C[C@H]2OC)OC(C)[C@H]1O[C@@H]1OC(CO)[C@@H](O)[C@H](O)C1O	C57H90O24	pos_3_3sodium	1158.58220376	[(1S,2R,7S,10S,11S,14R,15R,16R,19S)-7-[(2R,4R,5R)-5-[(2S,4R,5R)-5-[(2S,4R,5R)-5-[(2S,4R,5R)-3-hydroxy-4-methoxy-6-methyl-5-[(2S,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-14,16-dimethyl-17,20,21-trioxahexacyclo[14.4.1.01,14.02,11.05,10.015,19]henicos-4-en-10-yl]methyl acetate	QCOCYAQJPFXXLG	Terpenoids	Steroids	Pregnane steroids	http://www.wikidata.org/entity/Q56827344	Solenostemma oleifolium	6064974.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Gentianales']	['Apocynaceae']	['Asclepiadeae']	['Solenostemma']	['Solenostemma arghel']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Gentianales']	['Apocynaceae']	nan	nan	nan	6	2	7.0	1	437	Terpenoids	1.0	Steroids	0.5	Iridoids monoterpenoids	0.5
