feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
4040	-1							1.0	0.39794102	ISDB	http://www.wikidata.org/entity/Q104915052	ANBQZRWVQGYZGU-ABAIWWIYSA-N	InChI=1S/C15H20O2/c1-9(2)11-5-6-15(4)8-13(16)14(17)10(3)12(15)7-11/h8,11,16H,1,5-7H2,2-4H3/t11-,15+/m1/s1	C=C(C)[C@@H]1CC[C@@]2(C)C=C(O)C(=O)C(C)=C2C1	C15H20O2		232.14632988	(4aS,7R)-3-hydroxy-1,4a-dimethyl-7-prop-1-en-2-yl-5,6,7,8-tetrahydronaphthalen-2-one	ANBQZRWVQGYZGU	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q15531484	Nicotiana undulata	210478.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana undulata']											0	0	1.5917640924453735	1
4032	121	Alkaloids	1.0	Histidine alkaloids	1.0	Imidazole alkaloids	1.0	2.0	0.33926132	ISDB	http://www.wikidata.org/entity/Q27078066	PHSPJQZRQAJPPF-UHFFFAOYSA-N	InChI=1S/C6H11N3/c1-7-3-2-6-4-8-5-9-6/h4-5,7H,2-3H2,1H3,(H,8,9)	CNCCc1cnc[nH]1	C6H11N3		125.095297352	1H-Imidazole-4-ethanamine, N-methyl-	PHSPJQZRQAJPPF	Alkaloids	Histidine alkaloids	Imidazole alkaloids	http://www.wikidata.org/entity/Q2312704	Casimiroa edulis	1066822.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Rutaceae']	['Unknown']	['Casimiroa']	['Casimiroa edulis']											0	3	2.857045292854309	1
4027	54	Terpenoids	0.5666666666666667	Steroids	0.5	Pregnane steroids	0.3	68.0	0.28472528	ISDB	http://www.wikidata.org/entity/Q105276833	UPJVQRZPXLZUET-KGHQQZOUSA-N	InChI=1S/C28H46O3/c1-18(2)19(3)7-8-20(4)22-9-10-23-25(22,5)13-12-24-26(6)14-11-21(29)17-27(26,30)15-16-28(23,24)31/h7-8,15-16,18-24,29-31H,9-14,17H2,1-6H3/b8-7+/t19-,20+,21-,22+,23+,24+,25+,26+,27+,28-/m0/s1	CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@]3(O)C=C[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	C28H46O3		430.344695332	Ergosta-6,22-diene-3beta,5alpha,8alpha-triol	UPJVQRZPXLZUET	Terpenoids	Steroids	Cholestane steroids	http://www.wikidata.org/entity/Q15391190	Euphorbia sapinii	647129.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Euphorbieae']	['Euphorbia']	['Euphorbia sapinii']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']					5	2	7.138901114463806	1
4009	384	Terpenoids	0.7142857142857143	Sesquiterpenoids	0.7142857142857143	Protoilludane sesquiterpenoids	0.5714285714285714	3.0	0.31569967	ISDB	http://www.wikidata.org/entity/Q77309747	NKIWJNBJTMMKSE-MALBGOLISA-N	InChI=1S/C33H54O5/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-27(34)37-25-32-28(35)31(36)24-29(2,3)23-26(31)30(4)21-22-33(30,32)38-32/h12-13,26,36H,5-11,14-25H2,1-4H3/b13-12+/t26-,30-,31+,32-,33+/m1/s1	CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@]12O[C@]13CC[C@]3(C)[C@H]1CC(C)(C)C[C@@]1(O)C2=O	C33H54O5		530.397124828	[(1R,2R,5S,7S,9S)-9-hydroxy-2,11,11-trimethyl-8-oxo-6-oxatetracyclo[7.3.0.02,5.05,7]dodecan-7-yl]methyl (E)-octadec-9-enoate	NKIWJNBJTMMKSE	Terpenoids	Sesquiterpenoids	Protoilludane sesquiterpenoids	http://www.wikidata.org/entity/Q3290871	Lactarius atlanticus	87759.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Russulales']	['Russulaceae']	['Unknown']	['Lactarius']	['Lactarius atlanticus']		['Eukaryota']									1	3	3.7627986669540405	1
4006	345							1.0	0.2753071	ISDB									QQMBFGYBYKOTIG							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.1012283563613892	1
4005	79	Terpenoids	0.5465116279069767	Triterpenoids	0.3372093023255814	Oleanane triterpenoids	0.18604651162790697	1.0	0.57725555	ISDB									MYFUOMYKCJURCV							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.3090221881866455	1
4004	109	Amino acids and Peptides	0.3333333333333333	Small peptides	0.3333333333333333	Aminoacids	0.3333333333333333	1.0	0.2698294	ISDB	http://www.wikidata.org/entity/Q105378202	ZJWLHGSPTSANOO-UJURSFKZSA-N	InChI=1S/C6H14N2O3/c1-4(7)2-3-6(8,11)5(9)10/h4,11H,2-3,7-8H2,1H3,(H,9,10)/t4-,6+/m0/s1	C[C@H](N)CC[C@@](N)(O)C(=O)O	C6H14N2O3		162.100442308	(2R,5S)-2,5-diamino-2-hydroxyhexanoic acid	ZJWLHGSPTSANOO	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q1111359	Salvia officinalis	820645.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Lamiaceae']	['Mentheae']	['Salvia']	['Salvia officinalis']											0	3	2.579317569732666	1
3993	79	Terpenoids	0.5465116279069767	Triterpenoids	0.3372093023255814	Oleanane triterpenoids	0.18604651162790697	1.0	0.31421593	ISDB									WUHLDGKUYJARLK							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.2568637132644653	1
3992	47	Fatty acids	0.4177215189873418	Fatty amides	0.27848101265822783	N-acyl amines	0.24050632911392406	1.0	0.4713597	ISDB									JLNOLJTYJZCGLK							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.8854387998580933	1
3991	152	Terpenoids	0.4	Steroids	0.3	Cardenolides	0.2	1.0	0.46473977	ISDB									IQNGSTLIEQAWIO							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.8589590787887573	1
