feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	structure_taxonomy_npclassifier_02superclass_consensus	structure_taxonomy_npclassifier_03class_consensus	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	score_taxo	score_max_consistency	final_score
4040	-1				0.39794102	ISDB	ANBQZRWVQGYZGU-ABAIWWIYSA-N	InChI=1S/C15H20O2/c1-9(2)11-5-6-15(4)8-13(16)14(17)10(3)12(15)7-11/h8,11,16H,1,5-7H2,2-4H3/t11-,15+/m1/s1	C=C(C)[C@@H]1CC[C@@]2(C)C=C(O)C(=O)C(C)=C2C1	C15H20O2		232.14632988	ANBQZRWVQGYZGU	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	Nicotiana undulata	210478.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana undulata']	0	0	1.5917640924453735
4032	121	Alkaloids	Histidine alkaloids	Imidazole alkaloids	0.33926132	ISDB	PHSPJQZRQAJPPF-UHFFFAOYSA-N	InChI=1S/C6H11N3/c1-7-3-2-6-4-8-5-9-6/h4-5,7H,2-3H2,1H3,(H,8,9)	CNCCc1cnc[nH]1	C6H11N3		125.095297352	PHSPJQZRQAJPPF	Alkaloids	Histidine alkaloids	Imidazole alkaloids	Casimiroa edulis	1066822.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Rutaceae']	['Unknown']	['Casimiroa']	['Casimiroa edulis']	0	3	2.857045292854309
4027	54	Terpenoids	Steroids	Pregnane steroids	0.28472528	ISDB	UPJVQRZPXLZUET-KGHQQZOUSA-N	InChI=1S/C28H46O3/c1-18(2)19(3)7-8-20(4)22-9-10-23-25(22,5)13-12-24-26(6)14-11-21(29)17-27(26,30)15-16-28(23,24)31/h7-8,15-16,18-24,29-31H,9-14,17H2,1-6H3/b8-7+/t19-,20+,21-,22+,23+,24+,25+,26+,27+,28-/m0/s1	CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@]3(O)C=C[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	C28H46O3		430.344695332	UPJVQRZPXLZUET	Terpenoids	Steroids	Cholestane steroids	Euphorbia sapinii	647129.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Euphorbieae']	['Euphorbia']	['Euphorbia sapinii']	5	2	7.138901114463806
4024	79	Terpenoids	Triterpenoids	Oleanane triterpenoids	0.0	MS1_match	IJEZFJFCQWYKEM-KJJVUBFFSA-N	InChI=1S/C49H86O15/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-40(51)59-34-37(62-41(52)32-30-28-26-24-22-19-16-14-12-10-8-6-4-2)35-60-48-47(58)45(56)43(54)39(64-48)36-61-49-46(57)44(55)42(53)38(33-50)63-49/h5,7,11,13,17-18,37-39,42-50,53-58H,3-4,6,8-10,12,14-16,19-36H2,1-2H3/t37-,38-,39-,42+,43+,44+,45+,46-,47-,48-,49+/m1/s1	CCC=CCC=CCC=CCCCCCCCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCCCCCCCCCC	C49H86O15	pos_1_1sodium	914.596672052	IJEZFJFCQWYKEM	Fatty acids	Glycerolipids	Glycosyldiacylglycerols	Phanera vahlii	276264.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Cercideae']	['Phanera']	['Phanera vahlii']	6	0	6.0
4024	79	Terpenoids	Triterpenoids	Oleanane triterpenoids	0.0	MS1_match	IJEZFJFCQWYKEM-KJJVUBFFSA-N	InChI=1S/C49H86O15/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-40(51)59-34-37(62-41(52)32-30-28-26-24-22-19-16-14-12-10-8-6-4-2)35-60-48-47(58)45(56)43(54)39(64-48)36-61-49-46(57)44(55)42(53)38(33-50)63-49/h5,7,11,13,17-18,37-39,42-50,53-58H,3-4,6,8-10,12,14-16,19-36H2,1-2H3/t37-,38-,39-,42+,43+,44+,45+,46-,47-,48-,49+/m1/s1	CCC=CCC=CCC=CCCCCCCCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCCCCCCCCCC	C49H86O15	pos_1_1sodium	914.596672052	IJEZFJFCQWYKEM	Fatty acids	Glycerolipids	Glycosyldiacylglycerols	Bauhinia racemosa	522553.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Cercideae']	['Bauhinia']	['Bauhinia racemosa']	6	0	6.0
4023	-1				0.0	MS1_match	FVFCQHVXXOWKMY-BYCLXTJYSA-N	InChI=1S/C34H58O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-29-38-34(37)28-26-31-25-27-32(35)33(36)30-31/h25-28,30,35-36H,2-24,29H2,1H3/b28-26+	CCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(O)c1	C34H58O4	pos_1_1proton1isopropanol	530.4335103359999	FVFCQHVXXOWKMY				Sophora tetraptera	282932.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Sophoreae']	['Sophora']	['Sophora tetraptera']	6	0	6.0
4023	-1				0.0	MS1_match	VUUWEVURXOCTGG-BYCLXTJYSA-N	InChI=1S/C34H58O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-29-38-34(36)28-26-31-25-27-32(35)33(30-31)37-2/h25-28,30,35H,3-24,29H2,1-2H3/b28-26+	CCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1	C34H58O4	pos_1_1proton1isopropanol	530.433510336	VUUWEVURXOCTGG				Schnella guianensis	974330.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Cercideae']	['Phanera']	['Phanera guianensis']	6	0	6.0
4023	-1				0.0	MS1_match	PYYDDVUKXYFPEH-SJCQXOIGSA-N	InChI=1S/C36H62O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-31-40-36(38)30-28-33-27-29-35(39-2)34(37)32-33/h27-30,32,37H,3-26,31H2,1-2H3/b30-28+	CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(OC)c(O)c1	C36H62O4	pos_1_1proton1methanol	558.464810464	PYYDDVUKXYFPEH				Cedrelinga cateniformis	81120.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Ingeae']	['Cedrelinga']	['Cedrelinga cateniformis']	6	0	6.0
4023	-1				0.0	MS1_match	PYYDDVUKXYFPEH-SJCQXOIGSA-N	InChI=1S/C36H62O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-31-40-36(38)30-28-33-27-29-35(39-2)34(37)32-33/h27-30,32,37H,3-26,31H2,1-2H3/b30-28+	CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(OC)c(O)c1	C36H62O4	pos_1_1proton1methanol	558.464810464	PYYDDVUKXYFPEH				Erythrina sigmoidea	3921516.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Phaseoleae']	['Erythrina']	['Erythrina sigmoidea']	6	0	6.0
4023	-1				0.0	MS1_match	LMNZEDXMWAJKBB-SJCQXOIGSA-N	InChI=1S/C36H62O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-31-40-36(38)30-28-33-27-29-34(37)35(32-33)39-2/h27-30,32,37H,3-26,31H2,1-2H3/b30-28+	CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1	C36H62O4	pos_1_1proton1methanol	558.464810464	LMNZEDXMWAJKBB				Schnella guianensis	974330.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Cercideae']	['Phanera']	['Phanera guianensis']	6	0	6.0
4023	-1				0.0	MS1_match	VUUWEVURXOCTGG-BYCLXTJYSA-N	InChI=1S/C34H58O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-29-38-34(36)28-26-31-25-27-32(35)33(30-31)37-2/h25-28,30,35H,3-24,29H2,1-2H3/b28-26+	CCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1	C34H58O4	pos_1_1proton1isopropanol	530.433510336	VUUWEVURXOCTGG				Schnella guianensis	974330.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Cercideae']	['Phanera']	['Phanera guianensis']	6	0	6.0
4023	-1				0.0	MS1_match	LMNZEDXMWAJKBB-SJCQXOIGSA-N	InChI=1S/C36H62O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-31-40-36(38)30-28-33-27-29-34(37)35(32-33)39-2/h27-30,32,37H,3-26,31H2,1-2H3/b30-28+	CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1	C36H62O4	pos_1_1proton1methanol	558.464810464	LMNZEDXMWAJKBB				Erythrina mildbraedii	3921544.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Phaseoleae']	['Erythrina']	['Erythrina mildbraedii']	6	0	6.0
4023	-1				0.0	MS1_match	LMNZEDXMWAJKBB-SJCQXOIGSA-N	InChI=1S/C36H62O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-31-40-36(38)30-28-33-27-29-34(37)35(32-33)39-2/h27-30,32,37H,3-26,31H2,1-2H3/b30-28+	CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1	C36H62O4	pos_1_1proton1methanol	558.464810464	LMNZEDXMWAJKBB				Schnella guianensis	974330.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Cercideae']	['Phanera']	['Phanera guianensis']	6	0	6.0
4023	-1				0.0	MS1_match	LMNZEDXMWAJKBB-SJCQXOIGSA-N	InChI=1S/C36H62O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-31-40-36(38)30-28-33-27-29-34(37)35(32-33)39-2/h27-30,32,37H,3-26,31H2,1-2H3/b30-28+	CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1	C36H62O4	pos_1_1proton1methanol	558.464810464	LMNZEDXMWAJKBB				Erythrina mildbraedii	3921544.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Phaseoleae']	['Erythrina']	['Erythrina mildbraedii']	6	0	6.0
4023	-1				0.0	MS1_match	MXVOLWCVYNWTQA-UHFFFAOYSA-N	InChI=1S/C39H68O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-30-34-38(31-4-2)41-39(40)36-35-37-32-28-27-29-33-37/h27-29,32-33,35-36,38H,3-26,30-31,34H2,1-2H3	CCCCCCCCCCCCCCCCCCCCCCCCCCC(CCC)OC(=O)C=Cc1ccccc1	C39H68O2	pos_1_minus1proton1magnesium	568.521931416	MXVOLWCVYNWTQA				Erythrina senegalensis	1095837.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Phaseoleae']	['Erythrina']	['Erythrina senegalensis']	6	0	6.0
4022	57	Terpenoids	Steroids	Pregnane steroids	0.0	MS1_match	IJEZFJFCQWYKEM-KJJVUBFFSA-N	InChI=1S/C49H86O15/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-40(51)59-34-37(62-41(52)32-30-28-26-24-22-19-16-14-12-10-8-6-4-2)35-60-48-47(58)45(56)43(54)39(64-48)36-61-49-46(57)44(55)42(53)38(33-50)63-49/h5,7,11,13,17-18,37-39,42-50,53-58H,3-4,6,8-10,12,14-16,19-36H2,1-2H3/t37-,38-,39-,42+,43+,44+,45+,46-,47-,48-,49+/m1/s1	CCC=CCC=CCC=CCCCCCCCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCCCCCCCCCC	C49H86O15	pos_1_1proton1ammonium	914.596672052	IJEZFJFCQWYKEM	Fatty acids	Glycerolipids	Glycosyldiacylglycerols	Phanera vahlii	276264.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Cercideae']	['Phanera']	['Phanera vahlii']	6	0	6.0
4022	57	Terpenoids	Steroids	Pregnane steroids	0.0	MS1_match	IJEZFJFCQWYKEM-KJJVUBFFSA-N	InChI=1S/C49H86O15/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-40(51)59-34-37(62-41(52)32-30-28-26-24-22-19-16-14-12-10-8-6-4-2)35-60-48-47(58)45(56)43(54)39(64-48)36-61-49-46(57)44(55)42(53)38(33-50)63-49/h5,7,11,13,17-18,37-39,42-50,53-58H,3-4,6,8-10,12,14-16,19-36H2,1-2H3/t37-,38-,39-,42+,43+,44+,45+,46-,47-,48-,49+/m1/s1	CCC=CCC=CCC=CCCCCCCCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCCCCCCCCCC	C49H86O15	pos_1_1proton1ammonium	914.596672052	IJEZFJFCQWYKEM	Fatty acids	Glycerolipids	Glycosyldiacylglycerols	Bauhinia racemosa	522553.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Cercideae']	['Bauhinia']	['Bauhinia racemosa']	6	0	6.0
4021	-1				0.0	MS1_match	IJEZFJFCQWYKEM-KJJVUBFFSA-N	InChI=1S/C49H86O15/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-40(51)59-34-37(62-41(52)32-30-28-26-24-22-19-16-14-12-10-8-6-4-2)35-60-48-47(58)45(56)43(54)39(64-48)36-61-49-46(57)44(55)42(53)38(33-50)63-49/h5,7,11,13,17-18,37-39,42-50,53-58H,3-4,6,8-10,12,14-16,19-36H2,1-2H3/t37-,38-,39-,42+,43+,44+,45+,46-,47-,48-,49+/m1/s1	CCC=CCC=CCC=CCCCCCCCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCCCCCCCCCC	C49H86O15	pos_1_1proton1ethylamine	914.596672052	IJEZFJFCQWYKEM	Fatty acids	Glycerolipids	Glycosyldiacylglycerols	Phanera vahlii	276264.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Cercideae']	['Phanera']	['Phanera vahlii']	6	0	6.0
4021	-1				0.0	MS1_match	IJEZFJFCQWYKEM-KJJVUBFFSA-N	InChI=1S/C49H86O15/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-40(51)59-34-37(62-41(52)32-30-28-26-24-22-19-16-14-12-10-8-6-4-2)35-60-48-47(58)45(56)43(54)39(64-48)36-61-49-46(57)44(55)42(53)38(33-50)63-49/h5,7,11,13,17-18,37-39,42-50,53-58H,3-4,6,8-10,12,14-16,19-36H2,1-2H3/t37-,38-,39-,42+,43+,44+,45+,46-,47-,48-,49+/m1/s1	CCC=CCC=CCC=CCCCCCCCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCCCCCCCCCC	C49H86O15	pos_1_1proton1ethylamine	914.596672052	IJEZFJFCQWYKEM	Fatty acids	Glycerolipids	Glycosyldiacylglycerols	Bauhinia racemosa	522553.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Cercideae']	['Bauhinia']	['Bauhinia racemosa']	6	0	6.0
