row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak height,20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak height,20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak height,20250402_PMA_tp24_dbgi_mapp_bk_post_00.mzML Peak height,20250402_PMA_tp24_dbgi_mapp_bk_post_01.mzML Peak height,20250402_PMA_tp24_dbgi_mapp_bk_pre_00.mzML Peak height,20250402_PMA_tp24_dbgi_mapp_bk_pre_01.mzML Peak height,20250402_PMA_tp24_dbgi_mapp_stdby.mzML Peak height,20250402_PMA_tp24_dbgi_tp24_bk_00.mzML Peak height,20250402_PMA_tp24_dbgi_tp24_bk_01.mzML Peak height,
1,183.07846539273342,0.0853139,,,,,,,,,,,0,0,0,0,0,0,0,1.2968388E7,0,0,
2,167.97743660081483,0.10511201,,,,,,,,,,,903379.2,0,0,914599.9,0,0,831795.6,0,0,0,
3,171.149584122951,0.11203245,,,,,,,,,,,0,0,0,0,0,0,0,2904128.2,0,0,
4,200.16490069548288,0.1301448,,,,,,,,,,,0,0,0,0,0,0,0,1251206.9,0,0,
5,137.98730931879385,0.16458496,,,,,,,,,,,0,0,0,1714805.5,0,0,0,0,1720013.4,0,
6,139.98255820242875,0.18420851,,,,,,,,,,,0,1.1906936E7,0,1.2606669E7,1.3541298E7,1.4177228E7,0,0,1.160899E7,0,
7,190.9933037297261,0.19351368,,,,,,,,,,,0,0,0,946712.8,0,1072725.4,847371.9,1960074.2,844935.4,0,
8,167.97741930514394,0.20293063,,,,,,,,,,,0,0,0,0,0,1083831.4,0,0,825530.75,0,
9,217.95980816652772,0.22957696,,,,,,,,,,,0,0,0,0,1593795.8,0,0,0,1491214.1,0,
10,162.9984720749022,0.24359949,,,,,,,,,,,0,0,0,0,0,890369.56,0,1487561.1,0,0,
11,137.9873523953763,0.24709173,,,,,,,,,,,0,0,0,0,1783128.1,0,0,0,0,0,
12,199.9882774812783,0.27595425,,,,,,,,,,,0,0,0,0,0,0,0,4084357.5,0,0,
13,214.1804583254758,0.28477287,,,,,,,,,,,0,0,0,0,0,0,0,3543669.8,0,0,
14,139.98815693170988,0.3101352,,,,,,,,,,,0,0,0,0,0,0,0,5311328.0,0,0,
15,181.01485229847074,0.3101352,,,,,,,,,,,0,0,0,0,0,0,0,1704861.8,0,0,
16,199.02967747085506,0.3101352,,,,,,,,,,,0,0,0,0,0,0,0,2937389.2,0,0,
17,226.0124350603178,0.3101352,,,,,,,,,,,0,0,0,0,0,0,0,1596160.5,0,0,
18,190.9933292435128,0.3167329,,,,,,,,,,,0,0,0,0,1008422.25,0,0,0,0,0,
19,167.97747587709728,0.33323318,,,,,,,,,,,0,0,0,0,993089.9,0,752755.2,0,0,0,
20,143.0398551564288,0.33424562,,,,,,,,,,,0,0,0,4009233.2,3962653.2,0,3735984.8,2466147.8,0,0,
21,158.00318626355892,0.33661497,,,,,,,,,,,0,0,0,9455705.0,8654935.0,8277114.5,8981440.0,2340017.2,1187545.6,0,
22,139.01817962117292,0.33753377,,,,,,,,,,,0,1.2688445E7,0,0,0,0,0,3744485.8,0,0,
23,208.03967623919795,0.33753377,,,,,,,,,,,0,6086058.5,0,0,0,0,0,5430868.0,0,0,
24,146.16543724391664,0.34120753,,,,,,,,,,,0,1.0578617E7,0,0,0,0,0,0,0,0,
