formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C8H16O2	[M + K]+	C8H16KO2+	Fatty acids	0.998	Fatty esters	0.990	Wax monoesters	0.984	Lipids and lipid-like molecules	0.923	Fatty Acyls	0.930	Fatty acid esters	0.780			Fatty acid esters	0.780	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	183.078	5	0.085	707548040215343451	707547786308940080	1	
1	CH3F2N2O2S	[M + Na]+	CH3F2N2NaO2S+	Fatty acids	0.156	Small peptides	0.040	Halogenated fatty acids	0.325	Organohalogen compounds	0.890	Alkyl halides	0.922	Alkyl fluorides	0.936			Alkyl fluorides	0.936	Organic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	167.977	6	0.105	707548040978706872	707547786485100852	2	
1	C9H15NO	[M + H3N + H]+	C9H19N2O+	Fatty acids	0.859	Fatty amides	0.873	Primary amides	0.455	Organic acids and derivatives	0.798	Carboxylic acids and derivatives	0.729	Carboxylic acid derivatives	0.740	Carboxylic acid amides	0.794	Tertiary carboxylic acid amides	0.556	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	171.150	7	0.112	707548038676033836	707547786577375544	3	
1	C11H18O2	[M + H3N + H]+	C11H22NO2+	Fatty acids	0.927	Fatty Acids and Conjugates	0.743	Unsaturated fatty acids	0.668	Lipids and lipid-like molecules	0.768	Fatty Acyls	0.645	Fatty acids and conjugates	0.637	Unsaturated fatty acids	0.597	Unsaturated fatty acids	0.597	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	200.165	8	0.130	707548038684422447	707547786669650236	4	
1	C2H7NO3P2	[M - H2O + H]+	C2H6NO2P2+	Alkaloids	0.227	Pseudoalkaloids (transamidation)	0.086	Aminoacids	0.062	Organic nitrogen compounds	0.968	Organonitrogen compounds	0.869					Organonitrogen compounds	0.869	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	137.987	10	0.165	707548040882237845	707547786761924928	5	
1	C2H7NO3S2	[M - H2O + H]+	C2H6NO2S2+	Fatty acids	0.855	Fatty amides	0.149	N-acyl amines	0.077	Organosulfur compounds	0.985	Sulfonyls	0.524					Sulfonyls	0.524	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Sulfonyls; Carbonyl compounds; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	139.983	11	0.184	707548039493923129	707547786854199620	6	
1	CH3F2N2O2S	[M + Na]+	CH3F2N2NaO2S+	Alkaloids	0.152	Small peptides	0.038	Halogenated fatty acids	0.393	Organohalogen compounds	0.931	Alkyl halides	0.948	Alkyl fluorides	0.954			Alkyl fluorides	0.954	Organic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	167.977	12	0.203	707548041532355076	707547787013583180	8	
1	CH4F3N3O2S	[M + K]+	CH4F3KN3O2S+	Alkaloids	0.529	Histidine alkaloids	0.073	Imidazole alkaloids	0.074	Organosulfur compounds	0.945	Sulfonyls	0.762					Sulfonyls	0.762	Organic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Sulfonyls; Organofluorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Halomethanes; Trihalomethanes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	217.960	14	0.238	707548040873849217	707547787084886352	9	
1	C5H8N2O3S2	[M - H2O + H]+	C5H7N2O2S2+	Amino acids and Peptides	0.871	Histidine alkaloids	0.492	Imidazole alkaloids	0.498	Organoheterocyclic compounds	0.988	Azoles	0.772	Thiazoles	0.505			Thiazoles	0.505	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	190.993	14	0.239	707548041230365134	707547786938085704	7	
1	C2H7NO3P2	[M - H2O + H]+	C2H6NO2P2+	Alkaloids	0.195	Pseudoalkaloids (transamidation)	0.091	Aminoacids	0.067	Organic nitrogen compounds	0.979	Organonitrogen compounds	0.923					Organonitrogen compounds	0.923	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	137.987	15	0.247	707548041859510850	707547787231687000	11	
