formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C8H16O2	[M + K]+	C8H16KO2+	Fatty acids	0.998	Fatty esters	0.990	Wax monoesters	0.984	Lipids and lipid-like molecules	0.923	Fatty Acyls	0.930	Fatty acid esters	0.780			Fatty acid esters	0.780	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	183.078	5	0.085	707548040215343451	707547786308940080	1	
1	C9H15NO	[M + H3N + H]+	C9H19N2O+	Fatty acids	0.859	Fatty amides	0.873	Primary amides	0.455	Organic acids and derivatives	0.798	Carboxylic acids and derivatives	0.729	Carboxylic acid derivatives	0.740	Carboxylic acid amides	0.794	Tertiary carboxylic acid amides	0.556	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	171.150	7	0.112	707548038676033836	707547786577375544	3	
1	C11H18O2	[M + H3N + H]+	C11H22NO2+	Fatty acids	0.927	Fatty Acids and Conjugates	0.743	Unsaturated fatty acids	0.668	Lipids and lipid-like molecules	0.768	Fatty Acyls	0.645	Fatty acids and conjugates	0.637	Unsaturated fatty acids	0.597	Unsaturated fatty acids	0.597	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	200.165	8	0.130	707548038684422447	707547786669650236	4	
1	C2H7NO3P2	[M - H2O + H]+	C2H6NO2P2+	Alkaloids	0.227	Pseudoalkaloids (transamidation)	0.086	Aminoacids	0.062	Organic nitrogen compounds	0.968	Organonitrogen compounds	0.869					Organonitrogen compounds	0.869	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	137.987	10	0.165	707548040882237845	707547786761924928	5	
1	C2H7NO3S2	[M - H2O + H]+	C2H6NO2S2+	Fatty acids	0.855	Fatty amides	0.149	N-acyl amines	0.077	Organosulfur compounds	0.985	Sulfonyls	0.524					Sulfonyls	0.524	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Sulfonyls; Carbonyl compounds; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	139.983	11	0.184	707548039493923129	707547786854199620	6	
1	C5H8N2O3S2	[M - H2O + H]+	C5H7N2O2S2+	Amino acids and Peptides	0.871	Histidine alkaloids	0.492	Imidazole alkaloids	0.498	Organoheterocyclic compounds	0.988	Azoles	0.772	Thiazoles	0.505			Thiazoles	0.505	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	190.993	14	0.239	707548041230365134	707547786938085704	7	
1	C2H7NO3P2	[M - H2O + H]+	C2H6NO2P2+	Alkaloids	0.195	Pseudoalkaloids (transamidation)	0.091	Aminoacids	0.067	Organic nitrogen compounds	0.979	Organonitrogen compounds	0.923					Organonitrogen compounds	0.923	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	137.987	15	0.247	707548041859510850	707547787231687000	11	
1	C4H8N2O2S2	[M - H2O + H]+	C4H7N2OS2+	Fatty acids	0.711	Fatty acyls	0.529	Oxygenated hydrocarbons	0.186	Organosulfur compounds	0.607							Organosulfur compounds	0.607	Organic compounds; Organosulfur compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	162.999	16	0.264	707548044824884006	707547787164578132	10	
1	C5H9Cl2NO4	[M - H2O + H]+	C5H8Cl2NO3+	Amino acids and Peptides	0.658	Small peptides	0.351	Halogenated fatty acids	0.859	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.882	Amino acids and derivatives	0.878	N-acyl-alpha amino acids	0.659	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	199.988	17	0.276	707548041565909529	707547787302990172	12	
1	C12H20O2	[M + H3N + H]+	C12H24NO2+	Terpenoids	0.556	Fatty Acids and Conjugates	0.197	Unsaturated fatty acids	0.216	Lipids and lipid-like molecules	0.796	Prenol lipids	0.529					Prenol lipids	0.529	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	214.180	17	0.285	707548038684422450	707547787370099040	13	
1	C6H6F2N2O2	[M + Na]+	C6H6F2N2NaO2+	Alkaloids	0.672	Nicotinic acid alkaloids	0.157	Pyridine alkaloids	0.158	Organoheterocyclic compounds	0.927	Heteroaromatic compounds	0.919					Heteroaromatic compounds	0.919	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	199.030	19	0.310	707548044321567429	707547787646923116	16	
1	C4H4ClNO	[M + Na]+	C4H4ClNNaO+	Fatty acids	0.855	Fatty Acids and Conjugates	0.115	Halogenated fatty acids	0.835	Organic acids and derivatives	0.574	Carboxylic acids and derivatives	0.512	Carboxylic acid derivatives	0.469	Carboxylic acid amides	0.545	Carboxylic acid amides	0.545	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	139.988	19	0.310	707548044615168739	707547787512705380	14	
1	C5H3F3O3	[M + Na]+	C5H3F3NaO3+	Shikimates and Phenylpropanoids	0.382	Phenolic acids (C6-C1)	0.477	Halogenated fatty acids	0.543	Benzenoids	0.515	Benzene and substituted derivatives	0.556	Halobenzenes	0.719	Fluorobenzenes	0.753	Fluorobenzenes	0.753	Organic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl fluorides; Fluorobenzenes; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Vinyl halides; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	190.993	19	0.317	707548046653600638	707547787852444020	18	
2	C4H6F2N2	[M + Na]+	C4H6F2N2Na+	Alkaloids	0.685	Pseudoalkaloids (transamidation)	0.077	Halogenated fatty acids	0.088	Organohalogen compounds	0.997	Alkyl halides	0.947	Alkyl fluorides	0.949			Alkyl fluorides	0.949	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	143.040	20	0.334	707548039959490892	707547787974078844	20	
4	C2H8N2O4S	[M - H2O + H]+	C2H7N2O3S+	Amino acids and Peptides	0.617	Small peptides	0.477	Aminoacids	0.577	Organic acids and derivatives	0.988	Organic sulfonic acids and derivatives	0.802	Organosulfonic acids and derivatives	0.796	Alkanesulfonic acids and derivatives	0.825	Alkanesulfonic acids	0.829	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	139.018	20	0.338	707548040559276397	707547788099907972	22	
1	C7H16N2	[M + H3N + H]+	C7H20N3+	Alkaloids	0.995	Ornithine alkaloids	0.996	Polyamines	0.999	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.982	Secondary amines	0.710	Dialkylamines	0.703	Organic compounds; Organonitrogen compounds; Monoalkylamines; Dialkylamines; Amines; Primary amines; Secondary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	146.165	20	0.341	707548041381360128	707547788204765580	24	
1	C8H4FNO2	[M - H2O + H]+	C8H3FNO+	Alkaloids	0.987	Tryptophan alkaloids	0.757	Simple oxindole alkaloids	0.515	Organoheterocyclic compounds	0.964	Indoles and derivatives	0.686	Indolines	0.642			Indolines	0.642	Organic compounds; Organoheterocyclic compounds; Lactams; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Indolines; Organofluorides; Secondary carboxylic acid amides; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	148.019	21	0.342	707548044258652855	707547788322206100	26	
1	C3H3F2NO	[M + Na]+	C3H3F2NNaO+	Fatty acids	0.956	Fatty Acids and Conjugates	0.417	Halogenated fatty acids	0.961	Organohalogen compounds	0.988	Alkyl halides	0.646	Alkyl fluorides	0.569			Alkyl fluorides	0.569	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	130.008	21	0.342	707548048478122982	707547788263485840	25	
2	C3H5Cl2N3O2	[M + H]+	C3H6Cl2N3O2+	Alkaloids	0.415	Pseudoalkaloids (transamidation)	0.373	Purine alkaloids	0.539	Organoheterocyclic compounds	0.984	Azoles	0.552					Azoles	0.552	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Organochlorides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	185.984	21	0.347	707548062206080582	707547788477395356	28	
