formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C8H16O2	[M + K]+	C8H16KO2+	0.695	0.697	39.089	36.386	2.703	3	0.793	0.226	1.618	1.541		183.078	5	0.085	707548040215343451	707547786308940080	1	
1	CH3F2N2O2S	[M + Na]+	CH3F2N2NaO2S+	1.000	1.000	40.848	40.848	0.000	9	0.681	-1.686	4.711	-0.658		167.977	6	0.105	707548040978706872	707547786485100852	2	
1	C9H15NO	[M + H3N + H]+	C9H19N2O+	0.998	0.333	20.361	20.361	0.000	3	0.016	5.557	5.557	2.281		171.150	7	0.112	707548038676033836	707547786577375544	3	
1	C11H18O2	[M + H3N + H]+	C11H22NO2+	0.992	0.333	70.267	70.267	0.000	10	0.244	3.411	3.411	1.972		200.165	8	0.130	707548038684422447	707547786669650236	4	
1	C2H7NO3P2	[M - H2O + H]+	C2H6NO2P2+	1.000	0.245	9.644	9.644	0.000	3	0.052	6.594	6.594	-130519.848		137.987	10	0.165	707548040882237845	707547786761924928	5	
1	C2H7NO3S2	[M - H2O + H]+	C2H6NO2S2+	1.000	0.333	17.953	17.953	0.000	2	0.112	-9.284	9.284	-128669.254		139.983	11	0.184	707548039493923129	707547786854199620	6	
1	CH3F2N2O2S	[M + Na]+	CH3F2N2NaO2S+	1.000	1.000	40.080	40.080	0.000	7	0.650	0.245	3.971	-0.777		167.977	12	0.203	707548041532355076	707547787013583180	8	
1	CH4F3N3O2S	[M + K]+	CH4F3KN3O2S+	1.000	0.397	24.190	24.190	0.000	6	0.252	-4.295	4.295	-4.428		217.960	14	0.238	707548040873849217	707547787084886352	9	
1	C5H8N2O3S2	[M - H2O + H]+	C5H7N2O2S2+	1.000	0.008	26.271	26.271	0.000	7	0.163	-4.698	4.698	-94304.562		190.993	14	0.239	707548041230365134	707547786938085704	7	
1	C2H7NO3P2	[M - H2O + H]+	C2H6NO2P2+	1.000	0.263	9.006	9.006	0.000	2	0.046	6.937	6.937	-130519.521		137.987	15	0.247	707548041859510850	707547787231687000	11	
