structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	1	0.226	0.226	-76.519	0.695	0.697	39.089	C8H16O2	[M + K]+	C8H16KO2+	LSJMDWFAADPNAX	InChI=1S/C8H16O2/c1-4-5-10-8(9)6-7(2)3/h7H,4-6H2,1-3H3	Propyl Isovalerate	CCCOC(=O)CC(C)C	2.300	11176	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0032047);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);LIPIDMAPS:(LMFA07011003);SUPERNATURAL:(SN0214096);FooDB:(FDB008751);PUBCHEM:(11176);COCONUT:(CNP0105828);NORMAN:(NS00022372);CHEBI:(89725);DSSTox:(DTXSID70204230);LOTUS:(Q27161915);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null)	140646809642	183.078	5	0.085	707548040215343451	707547786308940080	1	
1	1	0.453	0.453	-82.893	0.998	0.333	20.361	C9H15NO	[M + H3N + H]+	C9H19N2O+	ZYECTRYJEYWFQS	InChI=1S/C9H15NO/c1-2-10(8-11)9-6-4-3-5-7-9/h2,8-9H,1,3-7H2	N-cyclohexyl-N-ethenylformamide	C=CN(C=O)C1CCCCC1	2.000	57269548	PUBCHEM:(57269548)	2	171.150	7	0.112	707548038676033836	707547786577375544	3	
1	1	0.078	0.078	-100.741	0.992	0.333	70.267	C11H18O2	[M + H3N + H]+	C11H22NO2+	WXUGSDBMQDMRMU	InChI=1S/C11H18O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h7-10H,2-6H2,1H3,(H,12,13)	(2E)-undeca-2,4-dienoic acid	CCCCCCC=CC=CC(=O)O	3.900	19805100;5312374;164081152;54455297;73654319	CHEBI:(185570);LIPIDMAPS:(LMFA01030222);PUBCHEM:(19805100 5312374 164081152 54455297 73654319);DSSTox:(DTXSID80711460)	139586437154	200.165	8	0.130	707548038684422447	707547786669650236	4	
1	1	-Infinity	-Infinity	-38.610	1.000	0.245	9.644	C2H7NO3P2	[M - H2O + H]+	C2H6NO2P2+	AOJUUUIIPFQQAU	InChI=1S/C2H7NO3P2/c1-2(3)8(5)6-7-4/h3-5,7H,1H3	1-Aminoethylidenediphosphonous acid	CC(=N)P(O)OPO	-1.200	129766108;129766109	PUBCHEM:(129766108 129766109)	2	137.987	10	0.165	707548040882237845	707547786761924928	5	
1	1	0.097	0.097	-46.228	1.000	0.333	17.953	C2H7NO3S2	[M - H2O + H]+	C2H6NO2S2+	MXTPRJXPLFGHEE	InChI=1S/C2H7NO3S2/c3-1-2-7-8(4,5)6/h1-3H2,(H,4,5,6)	Thiosulfuric acid (H2S2O3), S-(2-aminoethyl) ester	C(CSS(=O)(=O)O)N	-3.700	5232348;7061596;76242;3784204	NORMAN:(NS00028679 NS00088499);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);MESH:(76242);PUBCHEM:(5232348 7061596 76242 3784204);DSSTox:(DTXSID8068969 DTXSID9062720);PUBMED:(null)	137506324550	139.983	11	0.184	707548039493923129	707547786854199620	6	
1	1	0.065	0.065	-158.547	1.000	0.008	26.271	C5H8N2O3S2	[M - H2O + H]+	C5H7N2O2S2+	LBMZURPDADXCLH	InChI=1S/C5H8N2O3S2/c1-10-4-6-7(3-12(2)9)5(8)11-4/h3H2,1-2H3	3-(methanesulfinylmethyl)-5-methoxy-2,3-dihydro-1,3,4-thiadiazol-2-one	COC1=NN(C(=O)S1)CS(=O)C	0.100	162870053;54024921	COCONUT:(CNP0134418);SUPERNATURAL:(SN0201066);PUBCHEM:(162870053 54024921);DSSTox:(DTXSID80708476)	137442099202	190.993	14	0.239	707548041230365134	707547786938085704	7	
1	1	-Infinity	-Infinity	-34.205	1.000	0.263	9.006	C2H7NO3P2	[M - H2O + H]+	C2H6NO2P2+	AOJUUUIIPFQQAU	InChI=1S/C2H7NO3P2/c1-2(3)8(5)6-7-4/h3-5,7H,1H3	1-Aminoethylidenediphosphonous acid	CC(=N)P(O)OPO	-1.200	129766108;129766109	PUBCHEM:(129766108 129766109)	2	137.987	15	0.247	707548041859510850	707547787231687000	11	
1	1	0.051	0.051	-94.217	1.000	0.234	4.819	C4H8N2O2S2	[M - H2O + H]+	C4H7N2OS2+	JSPSAQVASCHMRJ	InChI=1S/C4H8N2O2S2/c5-9(7)3-1-2-4-10(6)8/h1-4H2	Azanylidyne-[4-[azanylidyne(oxo)-lambda6-sulfanyl]butyl]-oxo-lambda6-sulfane	C(CCS(#N)=O)CS(#N)=O	-0.361	57269418	PUBCHEM:(57269418)	2	162.999	16	0.264	707548044824884006	707547787164578132	10	
1	1	-Infinity	-Infinity	-97.844	1.000	0.168	64.901	C5H9Cl2NO4	[M - H2O + H]+	C5H8Cl2NO3+	BMCZNDMUFUNCQT	InChI=1S/C5H9Cl2NO4/c1-3(6)11-8(5(9)10)12-4(2)7/h3-4H,1-2H3,(H,9,10)	Bis(1-chloroethoxy)carbamic acid	CC(ON(C(=O)O)OC(C)Cl)Cl	2.100	88646704	PUBCHEM:(88646704)	2	199.988	17	0.276	707548041565909529	707547787302990172	12	
1	1	0.034	0.034	-94.320	1.000	0.333	99.209	C12H20O2	[M + H3N + H]+	C12H24NO2+	DQNSRQYYCSXZDF	InChI=1S/C12H20O2/c1-3-13-9-11-5-7-12(8-6-11)10-14-4-2/h3-4,11-12H,1-2,5-10H2	1,4-Bis((vinyloxy)methyl)cyclohexane	C=COCC1CCC(CC1)COC=C	3.100	3437285	NORMAN:(NS00020059);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(3437285);DSSTox:(DTXSID0044604);PUBMED:(null)	137506324546	214.180	17	0.285	707548038684422450	707547787370099040	13	
1	1	0.167	0.167	-137.149	0.999	0.999	36.138	C6H6F2N2O2	[M + Na]+	C6H6F2N2NaO2+	VCVMMDKNWZFRIP	InChI=1S/C6H6F2N2O2/c1-2-3(6(11)12)4(5(7)8)10-9-2/h5H,1H3,(H,9,10)(H,11,12)	3-(difluoromethyl)-5-methyl-1H-pyrazole-4-carboxylate	CC1=C(C(=NN1)C(F)F)C(=O)O	0.800	66583757;164025036	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(66583757 164025036)	67108866	199.030	19	0.310	707548044321567429	707547787646923116	16	
1	1	0.092	0.092	-60.768	0.596	0.878	6.935	C4H4ClNO	[M + Na]+	C4H4ClNNaO+	DPOKMBBVMINBAF	InChI=1S/C4H4ClNO/c1-6-4(7)2-3-5/h1H3,(H,6,7)	3-chloro-N-methylprop-2-ynamide	CNC(=O)C#CCl	1.000	19434636	PUBCHEM:(19434636)	2	139.988	19	0.310	707548044615168739	707547787512705380	14	
1	1	0.089	0.089	-52.133	0.806	0.001	15.625	C5H3F3O3	[M + Na]+	C5H3F3NaO3+	XUSHBWYNBQFNGO	InChI=1S/C5H3F3O3/c1-3(7)10-5(9)11-4(8)2-6/h2H,1H2	1,2-Difluoroethenyl 1-fluoroethenyl carbonate	C=C(OC(=O)OC(=CF)F)F	1.900	154021643	PUBCHEM:(154021643)	2	190.993	19	0.317	707548046653600638	707547787852444020	18	
1	2	0.006	0.006	-56.664	0.411	0.090	5.538	C4H6F2N2	[M + Na]+	C4H6F2N2Na+	WCFXJMJACHYWPV	InChI=1S/C4H6F2N2/c1-3(7-5)4(2)8-6/h1-2H3	2-N,3-N-difluorobutane-2,3-diimine	CC(=NF)C(=NF)C	1.000	21765985;9601331;5466515;533411	PUBCHEM:(21765985 9601331 5466515 533411)	2	143.040	20	0.334	707548039959490892	707547787974078844	20	
1	4	0.417	0.417	-53.127	0.034	0.032	4.048	C2H8N2O4S	[M - H2O + H]+	C2H7N2O3S+	RUKFBAYURIVMJV	InChI=1S/C2H8N2O4S/c3-4-1-2(5)9(6,7)8/h2,4-5H,1,3H2,(H,6,7,8)	2-Hydrazinyl-1-hydroxyethanesulfonic acid	C(C(O)S(=O)(=O)O)NN	-4.900	18784431	PUBCHEM:(18784431)	2	139.018	20	0.338	707548040559276397	707547788099907972	22	
1	1	0.022	0.094	-63.526	1.000	0.500	32.025	C7H16N2	[M + H3N + H]+	C7H20N3+	ZLDWGNZSKNMPRQ	InChI=1S/C7H16N2/c1-8-5-7-3-4-9(2)6-7/h7-8H,3-6H2,1-2H3	methyl-[[(3S)-1-methylpyrrolidin-1-ium-3-yl]methyl]azanium	CNCC1CCN(C1)C	0.200	7219753;7219754;7219755;7219756;15021556;143467210	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(7219753 7219754 7219755 7219756 15021556 143467210);DSSTox:(DTXSID40567081)	137506062338	146.165	20	0.341	707548041381360128	707547788204765580	24	
1	1	0.089	0.147	-104.610	0.721	0.354	9.688	C8H4FNO2	[M - H2O + H]+	C8H3FNO+	GKODDAXOSGGARJ	InChI=1S/C8H4FNO2/c9-4-1-2-6-5(3-4)7(11)8(12)10-6/h1-3H,(H,10,11,12)	5-fluoro-2,3-dihydro-1H-indole-2,3-dione	C1=CC2=C(C=C1F)C(=O)C(=O)N2	1.007	153380397;236566	PUBCHEMANNOTATIONBIO;COCONUT:(CNP0061305);PUBCHEMANNOTATIONSAFETYANDTOXIC;CHEBI:(149787);PUBCHEM:(153380397 236566);DSSTox:(DTXSID80284821);PUBMED	137524936802	148.019	21	0.342	707548044258652855	707547788322206100	26	
1	1	0.063	0.063	-56.899	0.992	0.999	12.769	C3H3F2NO	[M + Na]+	C3H3F2NNaO+	HHMFJCVUFBFVNG	InChI=1S/C3H3F2NO/c4-3(5)1-6-2-7/h3H,1H2	1,1-Difluoro-2-isocyanatoethane	C(C(F)F)N=C=O	1.900	22392485	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(22392485);DSSTox:(DTXSID00625398)	137506062338	130.008	21	0.342	707548048478122982	707547788263485840	25	
1	2	0.018	0.018	-130.590	0.444	0.333	84.646	C3H5Cl2N3O2	[M + H]+	C3H6Cl2N3O2+	DIMILXGLISPALV	InChI=1S/C3H5Cl2N3O2/c4-2(5)1-8(7-10)3(6)9/h2H,1H2,(H2,6,9)	1-(2,2-Dichloroethyl)-1-nitrosourea	C(C(Cl)Cl)N(C(=O)N)N=O	0.855	20975315	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0258042);BloodExposome:(20975315);PUBCHEM:(20975315);PUBMED	20971594	185.984	21	0.347	707548062206080582	707547788477395356	28	
1	1	0.074	0.074	-106.807	0.988	0.333	20.806	C5H10Cl2N2O	[M - H2O + H]+	C5H9Cl2N2+	VBWBRZHAGLZNST	InChI=1S/C5H10Cl2N2O/c6-1-3-8-5(10)9-4-2-7/h1-4H2,(H2,8,9,10)	1,3-Bis(2-chloroethyl)urea	C(CCl)NC(=O)NCCCl	0.600	12860051;95791	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(12860051 95791);DSSTox:(DTXSID40176672);PUBMED:(null)	137506062402	167.013	21	0.351	707548041356194288	707547788695499180	32	
1	3	0.023	0.023	-185.729	0.313	0.332	32.835	C5H6N2O4S	[M + H3N + H]+	C5H10N3O4S+	DSRIAQJIFHUAEB	InChI=1S/C5H6N2O4S/c6-12(10,11)3-1-4(5(8)9)7-2-3/h1-2,7H,(H,8,9)(H2,6,10,11)	4-sulfamoyl-1H-pyrrole-2-carboxylate	C1=C(NC=C1S(=O)(=O)N)C(=O)O	-0.900	28740522;28740523	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(28740522 28740523)	67108866	208.040	21	0.351	707548054585029774	707547788146045320	23	
1	2	0.091	0.091	-79.386	0.023	0.333	18.165	C3H5Cl2N	[M + H]+	C3H6Cl2N+	WILYSFGDCDXQIC	InChI=1S/C3H6Cl2N/c1-6(2)3(4)5/h1-2H3/q+1	Dichloromethylidene(dimethyl)azanium	C[N+](=C(Cl)Cl)C	1.900	419147	NORMAN:(NS00059541);PUBCHEM:(419147)	262146	125.987	21	0.352	707548041809179180	707547788733247920	33	
1	1	-Infinity	-Infinity	-37.062	0.993	0.008	2.900	C2H7NO3P2	[M - H2O + H]+	C2H6NO2P2+	AOJUUUIIPFQQAU	InChI=1S/C2H7NO3P2/c1-2(3)8(5)6-7-4/h3-5,7H,1H3	1-Aminoethylidenediphosphonous acid	CC(=N)P(O)OPO	-1.200	129766108;129766109	PUBCHEM:(129766108 129766109)	2	137.988	21	0.353	707548068736612402	707547788770996660	34	
1	2	0.040	0.040	-113.335	0.306	0.319	28.132	C5H6N2O5	[M + H3N + H]+	C5H10N3O5+	QUHJXXBEEQMCBF	InChI=1S/C5H6N2O5/c1-6-2(8)3(9)7-4(10)5(11)12/h1H3,(H,6,8)(H,11,12)(H,7,9,10)	2-[[2-(Methylamino)-2-oxoacetyl]amino]-2-oxoacetic acid	CNC(=O)C(=O)NC(=O)C(=O)O	-1.000	143322432	PUBCHEM:(143322432)	2	192.062	21	0.353	707548044636140272	707547788552892832	29	
1	1	-Infinity	-Infinity	-183.804	0.984	0.645	36.920	C4H6N3O2	[M + Na]+	C4H6N3NaO2+	GFPQBBIFILRPRI	InChI=1S/C4H6N3O2/c5-3-1-2-6-4(8)7(3)9/h1-2,9H,5H2,(H,6,8)		C1=CNC(=O)N([C]1N)O	-1.700	101501332	PUBCHEM:(101501332)	2	151.036	21	0.356	707548043860193952	707547788846494140	36	
1	2	0.006	0.006	-104.418	0.056	0.333	41.198	C4H3Cl3N2O3	[M + H]+	C4H4Cl3N2O3+	GBEIWOQCRDVBHF	InChI=1S/C4H3Cl3N2O3/c5-4(6,7)3(12)9-2(11)1(8)10/h(H2,8,10)(H,9,11,12)	N-trichloroacetyloxamide	C(=O)(C(=O)NC(=O)C(Cl)(Cl)Cl)N	0.500	20566669	PUBCHEM:(20566669)	2	232.929	21	0.357	707548052009727039	707547788917797316	38	
