20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak height;20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak height;20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak height;20250402_PMA_tp24_dbgi_mapp_bk_post_00.mzML Peak height;20250402_PMA_tp24_dbgi_mapp_bk_post_01.mzML Peak height;20250402_PMA_tp24_dbgi_mapp_bk_pre_00.mzML Peak height;20250402_PMA_tp24_dbgi_mapp_bk_pre_01.mzML Peak height;20250402_PMA_tp24_dbgi_mapp_stdby.mzML Peak height;20250402_PMA_tp24_dbgi_tp24_bk_00.mzML Peak height;20250402_PMA_tp24_dbgi_tp24_bk_01.mzML Peak height;annotation network number;auto MS2 verify;best ion;canopus_adduct;canopus_alignedFeatureId;canopus_ClassyFire#all classifications;canopus_ClassyFire#class;canopus_ClassyFire#class Probability;canopus_ClassyFire#level 5;canopus_ClassyFire#level 5 Probability;canopus_ClassyFire#most specific class;canopus_ClassyFire#most specific class Probability;canopus_ClassyFire#subclass;canopus_ClassyFire#subclass Probability;canopus_ClassyFire#superclass;canopus_ClassyFire#superclass probability;canopus_formulaId;canopus_formulaRank;canopus_ionMass;canopus_molecularFormula;canopus_NPC#class Probability;canopus_NPC#pathway Probability;canopus_NPC#superclass Probability;canopus_npc_class;canopus_npc_pathway;canopus_npc_superclass;canopus_overallFeatureQuality;canopus_precursorFormula;canopus_retentionTimeInMinutes;canopus_retentionTimeInSeconds;charge;component;correlation group ID;gnps_Adduct;gnps_CAS_Number;gnps_Charge;gnps_class;gnps_Compound_Name;gnps_Compound_Source;gnps_Data_Collector;gnps_ExactMass;gnps_FileScanUniqueID;gnps_IK2D;gnps_INCHI;gnps_INCHI_AUX;gnps_InChIKey;gnps_Instrument;gnps_Ion_Source;gnps_IonMode;gnps_LibMZ;gnps_Library_Class;gnps_library_usi;gnps_LibraryName;gnps_LibraryQualityString;gnps_MassDiff;gnps_mn_#Scan#;gnps_mn_component;gnps_mn_Compound_Name;gnps_mn_parent mass;gnps_mn_RTMean;gnps_molecular_formula;gnps_MQScore;gnps_MZErrorPPM;gnps_npc_class;gnps_npc_pathway;gnps_npc_superclass;gnps_NumberHits;gnps_Organism;gnps_PI;gnps_Precursor_MZ;gnps_Pubmed_ID;gnps_RT_Query;gnps_SharedPeaks;gnps_SMILES;gnps_SpecCharge;gnps_SpecMZ;gnps_SpectrumFile;gnps_SpectrumID;gnps_subclass;gnps_superclass;gnps_tags;gnps_TIC_Query;gnps_UpdateWorkflowName;identified by n=;isdb_adduct;isdb_component_id;isdb_final_score;isdb_freq_structure_taxonomy_npclassifier_01pathway;isdb_freq_structure_taxonomy_npclassifier_02superclass;isdb_freq_structure_taxonomy_npclassifier_03class;isdb_IK2D;isdb_libname;isdb_matched_class;isdb_matched_domain;isdb_matched_family;isdb_matched_genus;isdb_matched_kingdom;isdb_matched_order;isdb_matched_phylum;isdb_matched_species;isdb_matched_tribe;isdb_msms_score;isdb_npc_class;isdb_npc_pathway;isdb_npc_superclass;isdb_organism_name;isdb_organism_taxonomy_01domain;isdb_organism_taxonomy_02kingdom;isdb_organism_taxonomy_03phylum;isdb_organism_taxonomy_04class;isdb_organism_taxonomy_05order;isdb_organism_taxonomy_06family;isdb_organism_taxonomy_07tribe;isdb_organism_taxonomy_08genus;isdb_organism_taxonomy_09species;isdb_organism_taxonomy_10varietas;isdb_organism_taxonomy_ottid;isdb_organism_wikidata;isdb_rank_final;isdb_rank_spec;isdb_score_max_consistency;isdb_score_taxo;isdb_SMILES;isdb_structure_exact_mass;isdb_structure_inchi;isdb_structure_inchikey;isdb_structure_molecular_formula;isdb_structure_nameTraditional;isdb_structure_taxonomy_npclassifier_01pathway_consensus;isdb_structure_taxonomy_npclassifier_02superclass_consensus;isdb_structure_taxonomy_npclassifier_03class_consensus;isdb_structure_wikidata;library_compound_name;library_InChI;library_SMILES;mz;name;neutral M mass;partners;row CCS;row ion mobility;row ion mobility unit;row m/z;row retention time;rt;rt_min;selected;shared name;sirius_adduct;sirius_alignedFeatureId;sirius_ConfidenceScoreApproximate;sirius_ConfidenceScoreExact;sirius_CSI:FingerIDScore;sirius_dbflags;sirius_formulaId;sirius_formulaRank;sirius_IK2D;sirius_InChI;sirius_ionMass;sirius_links;sirius_molecularFormula;sirius_name;sirius_overallFeatureQuality;sirius_precursorFormula;sirius_pubchemids;sirius_retentionTimeInMinutes;sirius_retentionTimeInSeconds;sirius_SiriusScore;sirius_SiriusScoreNormalized;sirius_SMILES;sirius_structurePerIdRank;sirius_xlogp;sirius_ZodiacScore;sources_IK2D;sources_npc_class;sources_npc_pathway;sources_npc_superclass;sources_number_IK2D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0;2317251.2;0.0;0.0;0.0;0.0;1943130.8;0.0;0.0;0.0;;;;[M - H2O + H]+;7.07547848019745e+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0;0.0;0.0;0.0;5862560.0;1.8034756E7;2.4714456E7;0.0;0.0;0.0;;;;[M + H]+;7.075478785710609e+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0;1905544.9;2030561.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;[M - H2O + H]+;7.075478491312358e+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0;0.0;5231995.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;[M - H2O + H]+;7.075477995713308e+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0;0.0;1.7239022E7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;[M - H2O + H]+;7.075478220905531e+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0;0.0;0.0;927287.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;[M - H2O + H]+;7.075478511319191e+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0;3313391.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;377;;;;;;;;;;;;;;;;;;;;;;;;;377;;455.35931166928407;9.933928;;;;;;;;;;;;;;;;;;;;;;;;;;377.0;9.134714841842651;1.0;1.0;0.5;FKLMABCAWHPKCD;ISDB;['Magnoliopsida'];['Eukaryota'];;;['Archaeplastida'];['Malpighiales'];['Streptophyta'];;;0.6586787;Ursane and Taraxastane triterpenoids;Terpenoids;Triterpenoids;Mallotus repandus;['Eukaryota'];['Archaeplastida'];['Streptophyta'];['Magnoliopsida'];['Malpighiales'];['Euphorbiaceae'];['Acalypheae'];['Mallotus'];['Mallotus repandus'];;566439.0;http://www.wikidata.org/entity/Q11076094;1.0;4.0;3.0;5.0;C[C@@H]1[C@H]2[C@@H]3[C@H]4C[C@@H]5[C@@]6(C)CCC(=O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]3(C)CC[C@]2(CC[C@H]1C)C(=O)O4;454.344695332;InChI=1S/C30H46O3/c1-17-8-13-30-15-14-29(7)24(23(30)18(17)2)19(33-25(30)32)16-21-27(5)11-10-22(31)26(3,4)20(27)9-12-28(21,29)6/h17-21,23-24H,8-16H2,1-7H3/t17-,18+,19-,20+,21-,23+,24+,27+,28-,29-,30+/m1/s1;FKLMABCAWHPKCD-LTKKINRQSA-N;C30H46O3;(1S,4R,5R,8R,13R,14R,16R,17S,18S,19S,20R)-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[14.6.2.01,18.04,17.05,14.08,13]tetracosane-10,23-dione;Terpenoids;Triterpenoids;Ursane and Taraxastane triterpenoids;http://www.wikidata.org/entity/Q104996673;;;;455.3593;3419;;;;;;455.35931166928407;9.933928;sept.93;sept.93;false;3419;;;;;;;;;;;;;;;;;;;;;;;;;;isdb;isdb;isdb;isdb;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2336922.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;47;;;;;;;;;;;;;;;;;;;;;;;;;47;;298.275797068972;7.7885537;;;;;;;;;;;;;;;;;;;;;;;;;;47.0;8.498331069946289;0.4177215189873418;0.2784810126582278;0.240506329113924;QPRMGHKASRLPJP;ISDB;['Magnoliopsida'];['Eukaryota'];['Fabaceae'];;['Archaeplastida'];['Fabales'];['Streptophyta'];;;0.62458277;Piperidine alkaloids;Alkaloids;Lysine alkaloids;Cassia fistula;['Eukaryota'];['Archaeplastida'];['Streptophyta'];['Magnoliopsida'];['Fabales'];['Fabaceae'];['Unknown'];['Cassia'];['Cassia fistula'];;959676.0;http://www.wikidata.org/entity/Q161117;1.0;1.0;0.0;6.0;CC(=O)CCCCCCCCCC[C@H]1CC[C@@H](O)[C@@H](C)N1;297.26677936;InChI=1S/C18H35NO2/c1-15(20)11-9-7-5-3-4-6-8-10-12-17-13-14-18(21)16(2)19-17/h16-19,21H,3-14H2,1-2H3/t16-,17+,18-/m1/s1;QPRMGHKASRLPJP-FGTMMUONSA-N;C18H35NO2;Cassine;Fatty acids;Fatty amides;N-acyl amines;http://www.wikidata.org/entity/Q5756672;;;;298.2758;2913;;;;;;298.275797068972;7.7885537;juil.79;juil.79;false;2913;;;;;;;;;;;;;;;;;;;;;;;;;;isdb;isdb;isdb;isdb;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1260598.5;1.4217334E7;1.0000258E7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;[M + H3N + H]+;7.075478025702587e+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2262019.2;2010143.2;2650935.8;0.0;0.0;0.0;0.0;0.0;2389554.8;2564154.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;14;;;;;;;;;;;;;;;;;;;;;;;;;14;;740.5620362744266;9.978376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;740.562;3452;;;;;;740.5620362744266;9.978376;sept.98;sept.98;false;3452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
